=== Hold-Out Predictions by Draft Year (Grouped & Sorted) ===


--- Draft Class 2011, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Derrick Williams               | PF,SF |       3.02 |     1.00
   2 | Tobias Harris                  | PF,SF |       2.32 |     4.00
   3 | Kenneth Faried                 | PF,C  |       2.17 |     3.00
   4 | Chris Singleton                | SF,PF |       2.02 |     0.50
   5 | Marcus Morris                  | PF,SF |       1.98 |     3.00
   6 | JaJuan Johnson                 | PF    |       1.95 |     0.00
   7 | Tristan Thompson               | C,PF  |       1.88 |     3.00
   8 | Markieff Morris                | PF    |       1.88 |     3.00
   9 | Josh Harrellson                | C,PF  |       1.56 |     0.50
  10 | Jimmy Butler                   | SG,SF,PF |       1.31 |     5.00
  11 | Chandler Parsons               | SF,PF |       1.26 |     4.00
  12 | Ater Majok                     | PF,C  |       1.25 |     0.00
  13 | Lavoy Allen                    | PF,C  |       1.14 |     1.00
  14 | Justin Harper                  | PF    |       1.10 |     0.50
  15 | Jon Leuer                      | PF,C  |       0.94 |     1.00

--- Draft Class 2012, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Michael Kidd-Gilchrist         | SF,PF |       3.19 |     3.00
   2 | Anthony Davis                  | C,PF  |       3.03 |     5.00
   3 | Thomas Robinson                | PF    |       2.81 |     0.50
   4 | Harrison Barnes                | PF,SF |       2.29 |     4.00
   5 | Quincy Miller                  | PF    |       2.15 |     0.50
   6 | Draymond Green                 | PF,SF |       2.12 |     4.50
   7 | Jared Sullinger                | PF    |       2.10 |     2.50
   8 | Terrence Jones                 | PF    |       2.01 |     2.50
   9 | Maurice Harkless               | SF,PF |       1.84 |     2.50
  10 | Jae Crowder                    | SF,PF |       1.83 |     3.00
  11 | Royce White                    | PF    |       1.83 |     0.00
  12 | Andrew Nicholson               | PF    |       1.56 |     0.50
  13 | John Henson                    | C,PF  |       1.53 |     1.00
  14 | Mike Scott                     | PF    |       1.26 |     2.50
  15 | Meyers Leonard                 | C,PF  |       1.16 |     2.50
  16 | Perry Jones                    | SF,PF |       0.94 |     0.50
  17 | Quincy Acy                     | PF,SF |       0.92 |     1.00
  18 | Kyle O'Quinn                   | C,PF  |       0.89 |     1.00
  19 | Arnett Moultrie                | PF    |       0.76 |     0.00

--- Draft Class 2013, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Nerlens Noel                   | C,PF  |       3.07 |     2.50
   2 | Otto Porter Jr.                | SF,PF |       3.06 |     2.50
   3 | Grant Jerrett                  | PF    |       2.67 |     0.00
   4 | Solomon Hill                   | SF,PF |       2.40 |     1.00
   5 | Arsalan Kazemi                 | PF    |       2.21 |     0.00
   6 | Anthony Bennett                | PF    |       2.08 |     0.50
   7 | Gorgui Dieng                   | C,PF  |       2.03 |     1.00
   8 | Kelly Olynyk                   | C,PF  |       2.00 |     2.50
   9 | Deshaun Thomas                 | SF,PF |       1.84 |     0.00
  10 | Mike Muscala                   | C,PF  |       1.73 |     2.50
  11 | Ryan Kelly                     | PF    |       1.22 |     1.00
  12 | Tony Mitchell                  | PF    |       0.95 |     0.00

--- Draft Class 2014, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Andrew Wiggins                 | SF,PF |       3.39 |     4.00
   2 | Jabari Parker                  | PF    |       2.64 |     3.00
   3 | Aaron Gordon                   | PF,SF |       2.55 |     4.00
   4 | Julius Randle                  | PF,C  |       2.40 |     4.50
   5 | Kyle Anderson                  | SF,PF |       2.37 |     2.50
   6 | T.J. Warren                    | SF,PF |       2.10 |     3.00
   7 | Noah Vonleh                    | PF,C  |       2.08 |     1.00
   8 | Jarnell Stokes                 | C,PF  |       1.98 |     0.50
   9 | Rodney Hood                    | SG,SF,PF |       1.47 |     2.50
  10 | Doug McDermott                 | SF,PF |       1.41 |     2.50
  11 | Jerami Grant                   | PF,SF |       1.20 |     2.50
  12 | Alec Brown                     | PF,C  |       1.16 |     0.00
  13 | Cameron Bairstow               | C,PF  |       1.08 |     0.00
  14 | Cory Jefferson                 | PF    |       1.08 |     0.00
  15 | Adreian Payne                  | PF    |       1.00 |     0.50
  16 | Mitch McGary                   | PF    |       0.93 |     0.00
  17 | Johnny O'Bryant                | PF    |       0.93 |     0.50
  18 | Dwight Powell                  | C,PF  |       0.87 |     2.50
  19 | DeAndre Daniels                | SF,PF |       0.80 |     0.00
  20 | Josh Huestis                   | PF    |       0.52 |     0.50

--- Draft Class 2015, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Justise Winslow                | SF,PF,SG |       3.44 |     1.00
   2 | Stanley Johnson                | SF,PF |       3.38 |     1.00
   3 | Karl-Anthony Towns             | C,PF  |       3.08 |     4.50
   4 | Trey Lyles                     | PF    |       2.82 |     2.50
   5 | Kevon Looney                   | C,PF  |       2.72 |     3.00
   6 | J.P. Tokoto                    | SF,PF |       2.63 |     0.00
   7 | Frank Kaminsky                 | C,PF  |       2.15 |     1.00
   8 | Rondae Hollis-Jefferson        | SF,PF |       1.87 |     2.50
   9 | Aaron White                    | PF    |       1.77 |     0.00
  10 | Bobby Portis                   | PF,C  |       1.47 |     3.00
  11 | Larry Nance Jr.                | PF,C  |       1.41 |     3.00
  12 | Montrezl Harrell               | C,PF  |       1.35 |     4.00
  13 | Chris McCullough               | PF    |       1.33 |     0.50
  14 | Sam Dekker                     | PF    |       1.27 |     1.00
  15 | Rakeem Christmas               | PF    |       1.26 |     0.00
  16 | Richaun Holmes                 | C,PF  |       1.06 |     2.50
