Draft Year,Pick Number,NBA Team,POS,Name,Age,College,Height,Weight,NBA Relatives,Seasons Played (College),C_G,C_GS,C_GS%,C_MPG,C_FG,C_FGA,C_FG%,C_3P,C_3PA,C_3P%,C_FT,C_FTA,C_FT%,C_DRB,C_ORB,C_TRB,C_AST,C_STL,C_BLK,C_TOV,C_PF,C_PTS,C_PER,C_TS%,C_3PAr,C_FTr,C_PProd,C_ORB%,C_DRB%,C_TRB%,C_AST%,C_STL%,C_BLK%,C_TOV%,C_USG%,C_OWS,C_DWS,C_WS,C_WS/40,C_OBPM,C_DBPM,C_BPM,C_FG/40,C_FGA/40,C_3P/40,C_3PA/40,C_FT/40,C_FTA/40,C_ORB/40,C_DRB/40,C_TRB/40,C_AST/40,C_STL/40,C_BLK/40,C_TOV/40,C_PF/40,C_PTS/40,C_FG/100,C_FGA/100,C_3P/100,C_3PA/100,C_FT/100,C_FTA/100,C_ORB/100,C_DRB/100,C_TRB/100,C_AST/100,C_STL/100,C_BLK/100,C_TOV/100,C_PF/100,C_PTS/100,C_ORtg,C_DRtg,CT_Win%,CT_PTS/G,CT_PTSA/G,CT_SRS,CT_SOS,CT_ORtg,CT_DRtg,C_AST_TO,C_ORB_DRB,C_BLK_MPG,BMI,C_STOCKS/40,Wingspan,Wingspan/Height,Weight/Height
2025,1,DAL,"SF,PF",Cooper Flagg,18.51,Duke,81,221,0,1,37,37,1,30.7,6.5,13.4,0.481,1.4,3.6,0.385,4.8,5.8,0.84,6.2,1.3,7.5,4.2,1.4,1.4,2.1,1.9,19.2,30.4,0.593,0.272,0.429,712,5.5,21.2,14.1,26.8,2.8,4.9,11.5,30.9,5.1,3.3,8.4,0.296,9.7,6.7,16.3,8.4,17.5,1.8,4.8,6.3,7.5,1.7,8,9.8,5.5,1.8,1.8,2.7,2.5,25,12.6,26.3,2.8,7.1,9.5,11.3,2.6,12.1,14.7,8.3,2.8,2.6,4.1,3.7,37.5,126.3,89.5,0.897,83.2,62.8,30.72,10.26,125,94.3,2,0.21,0.046,21.68,3.6,84,1.037,2.728
2025,2,SAS,"PG,SG",Dylan Harper,19.32,Rutgers University,77.75,213,2,1,29,28,0.966,32.6,6.7,13.8,0.484,1.7,5.2,0.333,4.3,5.8,0.75,3.8,0.8,4.6,4,1.4,0.6,2.4,1.9,19.4,24.6,0.587,0.374,0.419,544,2.6,13.5,8,27.1,2.6,1.9,12.7,29,3,0.9,3.9,0.166,7,2.1,9.2,8.2,17,2.1,6.3,5.3,7.1,0.9,4.7,5.6,5,1.8,0.7,3,2.4,23.9,11.8,24.4,3,9.1,7.7,10.2,1.3,6.8,8.1,7.1,2.6,1,4.3,3.4,34.4,118.1,110.1,0.469,77,77.6,10.41,10.94,108.8,109.6,1.667,0.211,0.018,24.742,2.5,82.5,1.061,2.74
2025,3,PHI,SG,VJ Edgecombe,19.9,Baylor,77.25,193,0,1,33,33,1,32.7,5,11.5,0.436,1.6,4.6,0.34,3.4,4.3,0.782,3.6,2,5.6,3.2,2.1,0.6,1.9,2.5,15,22.1,0.552,0.402,0.373,500,7.1,13.5,10.2,19.2,3.8,2.3,12.5,24.1,3,1.8,4.8,0.178,7.1,4.3,11.4,6.1,14.1,1.9,5.7,4.1,5.3,2.5,4.4,6.9,3.9,2.5,0.7,2.4,3.1,18.3,9.3,21.4,2.9,8.6,6.2,8,3.8,6.6,10.4,6,3.8,1.1,3.6,4.7,27.9,119.1,102.5,0.571,76.1,69.8,18.77,13.86,113.6,104.2,1.684,0.556,0.018,21.085,3.2,79.5,1.029,2.498
2025,4,CHO,"SG,SF",Kon Knueppel,19.89,Duke,78.25,219,1,1,39,39,1,30.5,4.6,9.7,0.479,2.2,5.3,0.406,3,3.3,0.914,3,1,4,2.7,1,0.2,1.4,2.1,14.4,21.3,0.642,0.548,0.339,538,4.3,10.3,7.6,15.7,2,0.6,10.8,21.4,4.5,2.4,6.9,0.232,6.9,3.9,10.8,6.1,12.7,2.8,7,3.9,4.3,1.3,3.9,5.2,3.6,1.3,0.2,1.8,2.8,18.9,9.1,19.1,4.2,10.5,5.9,6.5,2,5.9,7.9,5.4,2,0.3,2.7,4.2,28.4,133.7,98.8,0.897,83.2,62.8,30.72,10.26,125,94.3,1.929,0.333,0.007,24.257,1.5,78.25,1,2.799
2025,5,UTA,SF,Ace Bailey,18.87,Rutgers University,80.75,203,0,1,30,30,1,33.3,6.8,14.7,0.46,1.6,4.5,0.346,2.5,3.6,0.692,5.1,2.1,7.2,1.3,1,1.3,2,2.8,17.6,19.9,0.536,0.308,0.243,483,7,17.5,12.2,8.3,1.7,4.1,11,27.5,1.7,1.1,2.8,0.112,3.7,0.8,4.5,8.1,17.6,1.9,5.4,3,4.3,2.5,6.1,8.6,1.5,1.2,1.5,2.4,3.3,21.1,11.7,25.4,2.7,7.8,4.3,6.2,3.6,8.8,12.4,2.2,1.7,2.2,3.5,4.8,30.4,108.2,109.1,0.469,77,77.6,10.41,10.94,108.8,109.6,0.65,0.412,0.039,20.803,2.7,84.5,1.046,2.514
2025,6,WAS,SG,Tre Johnson,19.3,Texas,78,190,0,1,33,33,1,34.7,6.8,15.9,0.427,2.7,6.8,0.397,3.7,4.2,0.871,2.8,0.3,3.1,2.7,0.9,0.3,1.8,2.1,19.9,19.7,0.557,0.427,0.265,601,1.1,9,5.2,16.5,1.6,1,9.2,29.1,3,1.1,4.2,0.145,6.5,1.2,7.7,7.8,18.3,3.1,7.8,4.2,4.9,0.4,3.2,3.6,3.1,1.1,0.3,2.1,2.4,23,11.4,26.8,4.5,11.4,6.2,7.1,0.6,4.7,5.3,4.6,1.6,0.5,3.1,3.5,33.6,115.1,109.9,0.543,78.5,72.6,15.65,9.79,113.1,104.7,1.5,0.107,0.009,21.937,1.4,82.25,1.054,2.436
2025,7,NOP,PG,Jeremiah Fears,18.7,Oklahoma,75.75,180,0,1,34,31,0.912,30.2,5.3,12.2,0.434,1.1,3.9,0.284,5.4,6.3,0.851,3.4,0.7,4.1,4.1,1.6,0.1,3.4,1.9,17.1,20.7,0.562,0.323,0.518,604,3.1,13,8.3,28.6,3.1,0.5,18.3,31.5,2.1,1.2,3.4,0.132,4.2,1.7,5.9,7,16.2,1.5,5.2,7.1,8.4,1,4.5,5.5,5.5,2.2,0.2,4.5,2.5,22.6,10,23.1,2.1,7.5,10.2,12,1.4,6.5,7.9,7.8,3.1,0.2,6.5,3.6,32.4,108.2,107.5,0.588,78.3,74.6,14.86,11.22,112,106.8,1.206,0.206,0.003,22.014,2.4,77.25,1.02,2.376
2025,8,BRK,"PG,SG",Egor Demin,19.31,BYU,81.5,199,0,1,33,33,1,27.5,3.8,9.3,0.412,1.3,4.7,0.273,1.7,2.5,0.695,3.6,0.3,3.9,5.5,1.2,0.4,2.9,1.2,10.6,15.6,0.509,0.503,0.268,411,1.3,14.8,8.3,34.6,2.5,1.7,21.9,24.5,1.1,1.3,2.3,0.103,3.1,2.2,5.3,5.6,13.5,1.9,6.8,2.5,3.6,0.4,5.2,5.6,7.9,1.7,0.5,4.3,1.8,15.5,8.2,19.8,2.7,10,3.7,5.3,0.6,7.6,8.3,11.6,2.5,0.8,6.3,2.7,22.7,103.9,105.6,0.722,81.4,72.6,19.07,10.21,117.6,104.8,1.897,0.083,0.015,20.266,2.2,82.25,1.009,2.442
2025,9,TOR,"SF,PF",Collin Murray-Boyles,20.04,South Carolina,79.75,239,0,2,32,32,1,30.6,6.2,10.6,0.586,0.3,1.1,0.265,4.2,5.9,0.707,6,2.2,8.3,2.4,1.5,1.3,2.4,2.6,16.8,27.8,0.63,0.101,0.556,513,8.8,23.8,16.3,21.1,2.9,4.7,15.4,26.7,3.1,1.8,4.9,0.2,6.9,5,11.9,8.1,13.8,0.4,1.4,5.4,7.7,2.9,7.9,10.8,3.1,1.9,1.8,3.2,3.3,22,12.1,20.7,0.6,2.1,8.1,11.5,4.3,11.8,16.1,4.7,2.9,2.6,4.8,5,32.9,119.6,100.4,0.375,69.8,71.4,9.89,11.55,103.7,106.1,1,0.367,0.042,25.742,3.7,84.75,1.063,2.997
2025,10,HOU,C,Khaman Maluach,18.78,Duke,86,253,0,1,39,39,1,21.2,3.5,4.9,0.712,0.1,0.4,0.25,1.5,2,0.766,3.8,2.7,6.6,0.5,0.2,1.3,0.8,2.1,8.6,25.5,0.736,0.084,0.403,331,16.5,19.2,18,4.3,0.6,6.8,11.6,16.1,3.4,2,5.4,0.26,6.2,3.6,9.9,6.6,9.2,0.2,0.8,2.9,3.7,5.2,7.2,12.4,1,0.4,2.5,1.4,3.9,16.2,9.9,13.9,0.3,1.2,4.3,5.6,7.8,10.9,18.6,1.5,0.6,3.7,2.2,5.8,24.3,147.3,94.3,0.897,83.2,62.8,30.72,10.26,125,94.3,0.625,0.711,0.061,23.777,2.9,90.75,1.055,2.942
