Player Tier,Career Score,raw_score,Name,Draft Year,Pick Number,Drafted By,NBA Team,NBA Dev Score,NBA Win%,NBA PPG,Rel PPG,NBA OPPG,Rel OPPG,NBA SRS,NBA Pace,NBA ORtg,Rel ORtg,NBA DRtg,Rel DRtg,NBA NRtg,NBA Expected Win%,NBA Net PPG,POS,Relatives,Age,Height,Weight,College,College Strength,Seasons Played (College),CT_Win%,CT_PTS/G,CT_PTSA/G,CT_SRS,CT_SOS,CT_ORtg,CT_DRtg,C_G,C_GS,C_GS%,C_MPG,C_FG,C_FGA,C_FG%,C_3P,C_3PA,C_3P%,C_FT,C_FTA,C_FT%,C_DRB,C_ORB,C_TRB,C_AST,C_STL,C_BLK,C_TOV,C_PF,C_PTS,C_PER,C_TS%,C_3PAr,C_FTr,C_PProd,C_ORB%,C_DRB%,C_TRB%,C_AST%,C_STL%,C_BLK%,C_TOV%,C_USG%,C_OWS,C_DWS,C_WS,C_WS/40,C_OBPM,C_DBPM,C_BPM,C_FG/40,C_FGA/40,C_3P/40,C_3PA/40,C_FT/40,C_FTA/40,C_ORB/40,C_DRB/40,C_TRB/40,C_AST/40,C_STL/40,C_BLK/40,C_TOV/40,C_PF/40,C_PTS/40,C_FG/100,C_FGA/100,C_3P/100,C_3PA/100,C_FT/100,C_FTA/100,C_ORB/100,C_DRB/100,C_TRB/100,C_AST/100,C_STL/100,C_BLK/100,C_TOV/100,C_PF/100,C_PTS/100,C_ORtg,C_DRtg,NBA_seasons,NBA_G,NBA_GS,NBA_MP/G,NBA_FG/G,NBA_FGA/G,NBA_FG%,NBA_3P/G,NBA_3PA/G,NBA_3P%,NBA_2P/G,NBA_2PA/G,NBA_2P%,NBA_eFG%,NBA_FT/G,NBA_FTA/G,NBA_FT%,NBA_ORB/G,NBA_DRB/G,NBA_TRB/G,NBA_AST/G,NBA_STL/G,NBA_BLK/G,NBA_TOV/G,NBA_PF/G,NBA_PTS/G,NBA_GS%,C_AST_TO,C_ORB_DRB,C_BLK_MPG,BMI,Rel NBA Pace,C_STOCKS/40,Wingspan,Wingspan/Height,Weight/Height
7,96.44,59.05,Kyrie Irving,2011,1,CLE,CLE,3,0.232,95.5,-4.1,104.5,4.9,-8.88,93,102.2,-5.1,111.8,4.5,-9.6,0.22,-9,"PG,SG",1,19.26,75.5,191,Duke,4,1,0.865,80.9,64.7,24.5,8.31,115.2,92.2,11,8,0.727,27.5,5,9.5,0.529,1.6,3.5,0.462,5.8,6.5,0.901,2.8,0.5,3.4,4.3,1.5,0.5,2.5,2.1,17.5,32.5,0.697,0.375,0.683,189,2.3,10.6,6.7,29.8,3,1.8,16.4,26.4,1.8,0.6,2.4,0.32,9.8,5,14.8,7.3,13.7,2.4,5.1,8.4,9.4,0.8,4.1,4.9,6.2,2.1,0.8,3.6,3,25.3,10.3,19.6,3.4,7.3,12,13.4,1.1,5.8,7,8.8,3,1.1,5.1,4.3,36.1,135.1,92.7,14,779,779,34.5,8.7,18.4,0.474,2.4,6.1,0.394,6.3,12.3,0.514,0.54,3.8,4.3,0.888,0.8,3.3,4.1,5.6,1.3,0.4,2.5,2.3,23.7,100,1.72,0.179,0.018,22.918,0.9,2.9,76,1.007,2.53
0,27.98,16.69,Derrick Williams,2011,2,MIN,MIN,2,0.207,101.1,1.5,107.7,8.1,-5.97,96.5,104.2,-3.1,111.1,3.8,-6.8,0.293,-6.6,"PF,SF",0,20.08,80.75,248,Arizona,3,2,0.789,76.4,67.9,16.54,7.99,112.8,100.2,38,38,1,30,5.9,10,0.595,1.1,1.9,0.568,6.5,8.7,0.746,5.5,2.8,8.3,1.1,1,0.7,2.6,2.8,19.5,32.8,0.69,0.195,0.871,675,11.8,21.9,17,8.7,1.9,2.3,15.7,28.9,6,1.9,7.9,0.279,9.6,2.5,12.1,7.9,13.3,1.5,2.6,8.7,11.6,3.7,7.3,11,1.5,1.3,0.9,3.5,3.7,26,11.8,19.9,2.2,3.9,12.9,17.4,5.5,11,16.5,2.3,1.9,1.4,5.2,5.6,38.8,128.8,97.3,7,428,112,20.7,3.1,7.2,0.434,0.6,2,0.3,2.5,5.2,0.484,0.475,2.1,3,0.71,0.8,3.1,4,0.7,0.5,0.3,0.9,1.2,8.9,26.168,0.423,0.509,0.023,25.723,4.4,2.2,85.5,1.059,3.071
5,55.03,33.43,Tristan Thompson,2011,4,CLE,CLE,3,0.232,95.5,-4.1,104.5,4.9,-8.88,93,102.2,-5.1,111.8,4.5,-9.6,0.22,-9,"C,PF",0,20.28,80.75,227,Texas,3,1,0.778,75,62.2,20.82,7.96,109.9,91.1,36,34,0.944,30.7,4.8,8.8,0.546,0,0,0,3.5,7.3,0.487,4,3.8,7.8,1.3,0.9,2.4,1.8,2.8,13.1,24.2,0.536,0,0.829,475,14,13.7,13.8,8.1,1.8,7.2,12.7,22.4,2.8,2.7,5.5,0.2,4.4,4.5,8.9,6.2,11.4,0,0,4.6,9.5,5,5.2,10.2,1.6,1.2,3.1,2.3,3.6,17.1,9.2,16.8,0,0,6.8,14,7.4,7.7,15.1,2.4,1.8,4.6,3.4,5.3,25.2,112.5,89.3,13,819,478,24.9,3.4,6.5,0.52,0,0.1,0.238,3.4,6.4,0.522,0.521,1.6,2.7,0.592,3.1,4.8,7.8,1,0.5,0.6,1.1,2.1,8.3,58.364,0.722,0.95,0.078,24.752,0.9,4.3,85.25,1.056,2.811
5,72.59,44.29,Brandon Knight,2011,8,DET,DET,1,0.366,97,-2.6,100.6,1,-3.78,89.2,107.7,0.4,111.7,4.4,-4,0.378,-3.6,"PG,SG",0,19.56,75.25,177,Kentucky,4,1,0.763,74.9,63.5,20.3,8.91,112.8,95.6,38,38,1,35.9,5.7,13.5,0.423,2.3,6.1,0.377,3.6,4.5,0.795,3.4,0.7,4,4.2,0.7,0.2,3.2,2.2,17.3,19.3,0.553,0.45,0.333,652,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27,3.6,1.8,5.3,0.157,4.5,0.9,5.5,6.4,15.1,2.6,6.8,4,5,0.7,3.8,4.5,4.7,0.7,0.2,3.5,2.4,19.3,9.6,22.8,3.9,10.2,6,7.6,1.1,5.7,6.8,7.1,1.1,0.4,5.3,3.7,29.1,109.9,101.5,9,451,349,29.3,5,12.2,0.411,1.6,4.5,0.352,3.4,7.7,0.445,0.476,2.4,2.9,0.807,0.5,2.5,3.1,3.9,0.9,0.2,2.4,2,14,77.384,1.312,0.206,0.006,22.992,-2.9,0.9,78.75,1.047,2.352
7,88.41,54.08,Kemba Walker,2011,9,CHA,CHA,0,0.415,93.3,-6.3,97.3,-2.3,-4.08,89.6,103.4,-3.9,107.8,0.5,-4.4,0.354,-4,PG,0,21.13,73,184,UConn,3,3,0.78,72.4,64.9,17.95,10.44,109.2,97.8,41,41,1,37.6,7.7,18,0.428,1.8,5.5,0.33,6.3,7.7,0.819,4.1,1.3,5.4,4.5,1.9,0.2,2.3,1.4,23.5,29.9,0.543,0.307,0.426,930,3.9,11.5,7.9,28,3.1,0.5,9.5,32.4,7.3,2.4,9.7,0.251,9.2,3.9,13.1,8.2,19.2,1.9,5.9,6.7,8.2,1.4,4.4,5.8,4.8,2,0.2,2.4,1.5,25,12.6,29.4,3,9,10.3,12.5,2.1,6.8,8.9,7.3,3.1,0.3,3.7,2.2,38.4,121.2,98.9,12,750,697,33.1,6.7,15.9,0.418,2.2,6.2,0.36,4.4,9.7,0.455,0.488,3.8,4.5,0.84,0.6,3.2,3.8,5.3,1.2,0.4,2.1,1.5,19.3,92.933,1.957,0.317,0.005,22.79,-2.5,2.2,75.5,1.034,2.521
0,7.03,3.73,Jimmer Fredette,2011,10,MIL,SAC,0,0.293,99.4,-0.2,104.7,5.1,-4.8,95.2,103.5,-3.8,109,1.7,-5.6,0.329,-5.3,"SG,PG",0,22.33,74.5,196,BYU,0,4,0.865,81.4,67.9,18.65,5.76,113.4,94.6,37,37,1,35.8,9.4,20.7,0.452,3.4,8.5,0.396,6.8,7.6,0.894,2.8,0.6,3.4,4.3,1.3,0,3.5,1.3,28.9,30.9,0.594,0.409,0.369,986,2,8.3,5.2,28.8,2.1,0.1,12.7,37.8,6.6,1.9,8.5,0.256,10,0.8,10.8,10.5,23.1,3.7,9.5,7.6,8.5,0.7,3.1,3.8,4.8,1.5,0,4,1.5,32.3,14.7,32.5,5.3,13.3,10.7,12,1,4.4,5.4,6.8,2.1,0,5.6,2.1,45.4,118,100,6,241,7,13.3,2.2,5.3,0.409,0.8,2.2,0.372,1.4,3.2,0.434,0.484,0.8,0.9,0.879,0.2,0.8,1,1.4,0.4,0,0.9,0.9,6,2.905,1.229,0.214,0,24.898,3.1,1.5,76.5,1.027,2.631
7,88.18,53.94,Klay Thompson,2011,11,GSW,GSW,4,0.439,103.4,3.8,105.7,6.1,-2,94.8,108.2,0.9,110.7,3.4,-2.4,0.427,-2.3,SG,2,21.37,79.25,206,Washington State,0,3,0.629,72.9,67.4,12.27,6.81,104.9,97,34,33,0.971,34.7,7.1,16.2,0.436,2.9,7.2,0.398,4.6,5.4,0.838,4.5,0.7,5.2,3.7,1.6,0.9,3.4,2.9,21.6,26.1,0.574,0.446,0.336,694,2.6,14,8.6,25,2.8,3.1,15.3,32.8,3.7,2.2,5.8,0.198,6.8,3,9.8,8.1,18.7,3.3,8.3,5.3,6.3,0.8,5.2,6,4.3,1.9,1.1,3.9,3.4,24.9,11.9,27.3,4.9,12.2,7.7,9.2,1.2,7.6,8.8,6.3,2.8,1.6,5.7,4.9,36.3,109.8,95.8,12,865,814,32.1,7.1,15.8,0.451,3.1,7.6,0.411,4,8.2,0.487,0.549,1.8,2.1,0.86,0.5,3,3.5,2.3,0.8,0.5,1.6,2,19.1,94.104,1.088,0.156,0.026,22.957,2.7,3,81,1.022,2.599
3,23.97,14.21,Alec Burks,2011,12,UTA,UTA,1,0.476,99.4,-0.2,101.3,1.7,-1.44,91,108.1,0.8,110.1,2.8,-2,0.439,-1.9,"SG,SF",0,19.93,78,193,Colorado,1,2,0.632,79.6,73.3,11.45,5.61,114,105,38,37,0.974,31.4,6.6,14.1,0.469,0.7,2.5,0.292,6.6,7.9,0.825,4.1,2.4,6.5,2.9,1.1,0.3,2.6,2.3,20.5,29.4,0.574,0.179,0.564,771,9.2,14.8,12.1,19.6,2,1,12.7,32.3,5.6,1,6.6,0.221,8,0,8.1,8.4,17.9,0.9,3.2,8.3,10.1,3.1,5.2,8.3,3.8,1.4,0.4,3.3,3,26.1,12.2,25.9,1.4,4.7,12.1,14.6,4.4,7.6,12,5.4,2,0.6,4.8,4.3,37.8,120.2,106,14,791,158,22.2,3.5,8.4,0.415,1.2,3.2,0.386,2.3,5.2,0.433,0.488,2.4,2.9,0.805,0.5,2.8,3.3,1.9,0.7,0.2,1.1,1.8,10.6,19.975,1.115,0.585,0.01,22.447,-1.1,1.8,82,1.051,2.474
5,46.94,28.42,Markieff Morris,2011,13,PHO,PHO,0,0.488,105,5.4,105.9,6.3,-0.46,94.4,109.5,2.2,110.4,3.1,-0.9,0.476,-0.9,"PF,C",1,21.81,81.25,241,Kansas,4,3,0.921,81.2,64.7,24.1,7.62,116,92.4,38,34,0.895,24.4,5.1,8.7,0.589,0.7,1.6,0.424,2.7,4,0.673,5.6,2.7,8.3,1.4,0.8,1.1,2.1,2.8,13.6,29.1,0.642,0.178,0.462,485,13.9,24.7,19.7,11,1.9,4.9,16.2,25.5,3.6,2.4,6,0.257,6.7,3.6,10.3,8.4,14.3,1.1,2.5,4.4,6.6,4.4,9.2,13.7,2.3,1.3,1.9,3.4,4.7,22.4,12.1,20.5,1.5,3.7,6.4,9.5,6.4,13.2,19.6,3.3,1.9,2.7,4.8,6.7,32.1,121.5,88.1,14,791,381,23.3,3.9,8.9,0.443,0.8,2.4,0.341,3.1,6.4,0.482,0.49,1.5,1.9,0.779,1.1,3.7,4.9,1.5,0.8,0.5,1.4,2.6,10.2,48.167,0.667,0.482,0.045,25.656,2.3,3.2,82.75,1.018,2.966
5,58.17,35.37,Marcus Morris,2011,14,HOU,PHO,0,0.488,105,5.4,105.9,6.3,-0.46,94.4,109.5,2.2,110.4,3.1,-0.9,0.476,-0.9,"PF,C",1,21.81,80.75,230,Kansas,4,3,0.921,81.2,64.7,24.1,7.62,116,92.4,38,35,0.921,28.3,6.3,11.1,0.57,0.7,2,0.342,3.9,5.7,0.688,5,2.6,7.6,1.6,0.8,0.6,1.8,2.6,17.2,29.3,0.625,0.181,0.511,600,11.5,19,15.5,11.4,1.7,2.4,11.4,26.9,4.9,2.3,7.2,0.269,8,2.9,10.9,8.9,15.7,1,2.8,5.5,8,3.7,7.1,10.8,2.3,1.2,0.9,2.5,3.6,24.3,12.8,22.4,1.4,4.1,7.9,11.5,5.3,10.2,15.5,3.3,1.7,1.3,3.6,5.2,34.9,126.5,92.5,13,832,509,26.6,4.4,10.1,0.435,1.6,4.1,0.377,2.8,5.9,0.475,0.512,1.6,2.1,0.774,0.8,3.6,4.4,1.5,0.7,0.3,1.1,2.1,12,61.178,0.889,0.52,0.021,24.979,2.3,2.1,82,1.015,2.848
