NBA Career Score,Name,Age,Height,Weight,NBA Connection,Seasons Played (College),G,GS%,MPG,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,BPM,FG/100,FGA/100,3P/100,3PA/100,FT/100,FTA/100,ORB/100,DRB/100,TRB/100,AST/100,STL/100,BLK/100,TOV/100,PF/100,PTS/100,ORtg,DRtg
1,Anthony Bennett,20.28,203,108,0,1,35,88.57,27.1,28.3,0.609,10.3,24,17.1,8.8,1.5,4.6,12.3,27.5,0.238,8.6,12.3,23.1,2.2,5.9,7.6,10.8,5.3,12.2,17.4,2.1,1.5,2.6,4,4.9,34.4,117.6,89.6
4,Victor Oladipo,21.14,196,97,0,3,36,100,28.4,28.9,0.671,11.8,15.1,13.5,15.2,4.6,2.8,18.5,22.2,0.264,15.1,10.6,17.7,1.8,4,5.7,7.6,5.4,7.8,13.3,4.3,4.6,1.6,4.8,5.2,28.7,125.7,87.3
3,Otto Porter Jr.,20.06,203,92,0,2,31,96.77,35.4,27.3,0.59,6.7,20.9,13.9,18.5,3.3,3,10,24.1,0.26,13.7,9.8,20.4,2.5,6,7.1,9.2,3.2,10.3,13.5,4.9,3.3,1.6,2.7,3.6,29.3,122.3,85.3
3,Cody Zeller,20.72,213,108,1,2,36,100,29.5,29.8,0.624,12.3,20.4,16.6,9.5,2.1,4.4,14.5,26.5,0.274,11.1,11.2,19.8,0,0.1,11,14.5,5.7,10.6,16.2,2.6,2.1,2.5,4.5,4.5,33.3,124.5,89.5
2.5,Alex Len,20.02,216,102,0,2,38,97.37,26.4,24.5,0.57,13.2,21,17.2,7.8,0.5,8,13.1,22.8,0.2,6.8,10.2,19.2,0.1,0.5,6.2,9.1,6.5,11.2,17.6,2.2,0.5,4.6,3.6,6,26.8,116.2,93.1
2.5,Nerlens Noel,19.21,208,103,0,1,24,100,31.9,27.3,0.583,10.4,23.9,17.4,9.5,3.9,13.2,17.3,17.4,0.206,12.1,7.7,13,0,0,4.3,8.1,5.1,12.7,17.8,3,3.9,8.3,3.5,4.9,19.6,112.9,82.3
2.5,Ben McLemore,20.37,196,88,0,1,37,97.3,32.2,23.2,0.633,5,13.2,9.4,12.6,1.8,2.2,14.2,23.2,0.217,10.5,9.8,19.8,3.6,8.6,5.9,6.8,2.3,7.2,9.5,3.6,1.8,1.2,3.8,3.4,29.2,121.4,93.7
3,Kentavious Caldwell-Pope,20.35,196,92,0,2,32,93.75,33.9,27.7,0.579,4.3,21.3,12.9,16.8,3.8,1.9,11.1,29.2,0.23,12.5,11,25.4,5,13.3,8,10,2.2,11.1,13.3,3.4,3.8,1,3.8,4.1,34.9,115.7,91
2.5,Trey Burke,20.62,183,86,0,2,39,100,35.3,28.7,0.569,1.9,9.6,5.7,37.3,2.8,1.5,11.9,28.3,0.249,13.1,11.7,25.3,3.4,9,6,7.5,1,4.7,5.6,11.8,2.8,0.9,3.9,3.3,32.9,123.4,100
4,CJ McCollum,21.77,190,81,0,4,12,91.67,31,34.7,0.628,4,15.8,10,24.9,2.7,1.2,12.3,37.2,0.261,9.3,15.5,31.3,5.3,10.3,10,11.8,1.9,7.7,9.7,5.6,2.7,0.6,5.2,3.4,46.3,118.5,98.1
2.5,Michael Carter-Williams,21.71,198,83,1,2,40,100,35.2,20.9,0.491,4,12.7,8.2,40.1,4.7,1.8,22.2,22.2,0.174,9.4,6.7,17.2,1.5,5.2,5.6,8.1,2.2,6.4,8.7,12.7,4.7,0.9,6,4,20.6,104.6,87.9
3.5,Steven Adams,19.93,213,113,0,1,32,100,23.4,23.2,0.555,15.3,21,18,5.4,1.9,11.2,14.4,17.7,0.185,8.1,8.8,15.5,0,0,2.7,6.2,8,10,17.9,1.8,1.9,5.7,3.1,4.6,20.4,112.9,87.6
3,Kelly Olynyk,22.18,213,107,0,4,32,84.38,26.4,36.2,0.675,11.8,22.6,17.4,15.1,1.6,5.1,15.4,30.7,0.315,13.9,15.6,24.8,0.7,2.2,9.6,12.3,5.6,11.5,17,4,1.6,2.6,5.6,5.2,41.4,127.1,89.9
2,Shabazz Muhammad,20.61,198,102,0,1,32,93.75,30.8,21.9,0.528,9.9,9.3,9.6,5.8,1.3,0.4,8.6,29.8,0.149,4.7,11.8,26.6,2.3,6.2,7.5,10.5,5.1,4.7,9.7,1.6,1.3,0.2,3,3.1,33.3,110.1,105.4
2,Shane Larkin,20.73,180,79,0,2,36,97.22,36.4,22.6,0.6,1.6,11.4,6.5,26.1,3.4,0.3,15.9,21.3,0.199,9.1,8.7,18.2,3.3,8.1,4.2,5.3,0.8,5.8,6.6,7.8,3.4,0.2,3.9,2.8,24.9,119.2,95.9
2.5,Tony Snell,21.62,201,90,0,3,35,100,31.2,17,0.562,1.6,8.9,5.2,22.4,1.6,1.9,15.6,22.8,0.133,6.2,8.1,19.3,3.6,9.3,4.9,5.8,0.8,4.4,5.2,5.7,1.6,1,4.1,2.6,24.8,107,99.5
2.5,Gorgui Dieng,23.43,211,111,0,3,33,96.97,31.1,23.8,0.562,12.9,23.6,18.1,12.3,2.6,9.4,17,17,0.219,11.5,7.3,13.7,0,0,4.3,6.6,6.6,11.6,18.2,3.9,2.6,4.9,3.5,5,19,115.9,81.9
3,Mason Plumlee,23.31,208,106,1,4,36,100,34.7,26.3,0.628,9.7,25.1,17.4,11.5,1.7,4,17.4,24.5,0.22,9.5,10.4,17.3,0,0,8.1,11.9,4.6,12.2,16.8,3.3,1.7,2.4,4.8,4.3,28.9,117.2,92.2
2,Solomon Hill,22.27,201,99,0,4,35,100,33,20.1,0.579,6.6,13.9,10.2,16.8,2.1,1.8,16,21.4,0.176,8.3,8.2,17.9,3,7.6,4.9,6.4,3.2,6.5,9.7,4.9,2.1,1,4,3.9,24.3,116.3,97.7
3.5,Tim Hardaway Jr.,21.28,198,92,1,3,38,100,34.8,17.7,0.538,0.8,16.3,8.4,13,1.2,1.4,12.2,23.7,0.136,5.5,9.5,21.7,3.4,9.2,3.6,5.2,0.4,7.9,8.3,4.4,1.2,0.8,3.3,3.4,26,108.5,100.7
3,Reggie Bullock,22.28,201,92,0,3,35,100,31.4,23.7,0.625,6.7,17.2,11.5,16.6,2.2,0.9,9.9,18.5,0.207,11.1,8.7,18.1,4.5,10.3,2.8,3.7,3.6,7.9,11.5,5.1,2.2,0.5,2.2,2.5,24.8,130.4,98.2
2.5,Andre Roberson,21.56,201,95,0,3,31,96.77,33.4,21.9,0.524,10.6,29.4,20,9.4,3.9,4.4,18.7,19.9,0.166,8.1,7.8,16.2,1.1,3.4,3.2,5.8,5.4,15,20.4,2.6,3.9,2.4,4.4,4.5,19.8,102.1,84.5
1.5,Archie Goodwin,18.86,196,89,0,1,33,100,31.8,16.9,0.509,5.6,11.2,8.5,16.8,2.1,1.4,18.1,27.2,0.117,2.1,9,20.4,1,3.7,7.7,12.1,2.7,5.9,8.7,5,2.1,0.9,5.8,5.5,26.6,100.1,99.1
2.5,Allen Crabbe,21.21,198,95,0,3,33,100,36.2,22.3,0.568,3.3,16,9.8,16.2,1.9,1.9,13.5,26.6,0.17,8.4,10.8,23.6,3.2,9.3,5.7,7,1.7,8.4,10.1,4.4,1.9,1.2,4.2,3.5,30.6,110.8,97.8
0,Carrick Felix,22.86,198,89,0,3,35,97.14,35.3,21.5,0.586,7.1,20,13.6,9.6,2.4,3.2,13.8,21.3,0.165,6,9.1,18.1,2.5,6.7,3.9,5.9,3.5,10.2,13.7,2.7,2.4,1.9,3.4,5,24.5,112.7,96.2
2,Isaiah Canaan,22.1,185,88,0,4,31,96.77,36.5,25.2,0.576,2,10,5.9,27.6,2.5,0.4,14.3,30.9,0.207,5.8,11.3,26.3,5,13.4,8,9.8,1,4.8,5.8,7,2.5,0.2,5.2,3.1,35.7,116.1,101.6
0,Glen Rice Jr.,22.48,196,93,1,3,21,47.62,29.9,23,0.539,8,20.7,14.2,19.1,2.8,3.3,15.9,25.9,0.156,8,10.3,22.5,3,9.1,4,6.6,4.1,10.1,14.2,4.8,2.8,1.8,4.8,5,27.6,105.9,95.3
