NBA Career Score,Name,Age,Height,Weight,NBA Connection,Seasons Played (College),G,GS%,MPG,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS/40,BPM,FG/100,FGA/100,3P/100,3PA/100,FT/100,FTA/100,ORB/100,DRB/100,TRB/100,AST/100,STL/100,BLK/100,TOV/100,PF/100,PTS/100,ORtg,DRtg
4.5,Kyrie Irving,19.26,188,81,1,1,11,72.73,27.5,32.5,0.697,2.3,10.6,6.7,29.8,3,1.8,16.4,26.4,0.32,14.8,10.3,19.6,3.4,7.3,12,13.4,1.1,5.8,7,8.8,3,1.1,5.1,4.3,36.1,135.1,92.7
2,Derrick Williams,20.08,203,106,0,2,38,100,30,32.8,0.69,11.8,21.9,17,8.7,1.9,2.3,15.7,28.9,0.279,12.1,11.8,19.9,2.2,3.9,12.9,17.4,5.5,11,16.5,2.3,1.9,1.4,5.2,5.6,38.8,128.8,97.3
3,Tristan Thompson,20.28,203,102,0,1,36,94.44,30.7,24.2,0.536,14,13.7,13.8,8.1,1.8,7.2,12.7,22.4,0.2,8.9,9.2,16.8,0,0,6.8,14,7.4,7.7,15.1,2.4,1.8,4.6,3.4,5.3,25.2,112.5,89.3
3,Brandon Knight,19.56,190,83,0,1,38,100,35.9,19.3,0.553,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27,0.157,5.5,9.6,22.8,3.9,10.2,6,7.6,1.1,5.7,6.8,7.1,1.1,0.4,5.3,3.7,29.1,109.9,101.5
4,Kemba Walker,21.13,185,78,0,3,41,100,37.6,29.9,0.543,3.9,11.5,7.9,28,3.1,0.5,9.5,32.4,0.251,13.1,12.6,29.4,3,9,10.3,12.5,2.1,6.8,8.9,7.3,3.1,0.3,3.7,2.2,38.4,121.2,98.9
1,Jimmer Fredette,22.33,188,88,0,4,37,100,35.8,30.9,0.594,2,8.3,5.2,28.8,2.1,0.1,12.7,37.8,0.256,10.8,14.7,32.5,5.3,13.3,10.7,12,1,4.4,5.4,6.8,2.1,0,5.6,2.1,45.4,118,100
4.25,Klay Thompson,21.37,198,90,1,3,34,97.06,34.7,26.1,0.574,2.6,14,8.6,25,2.8,3.1,15.3,32.8,0.198,9.8,11.9,27.3,4.9,12.2,7.7,9.2,1.2,7.6,8.8,6.3,2.8,1.6,5.7,4.9,36.3,109.8,95.8
2.5,Alec Burks,19.93,198,88,0,2,38,97.37,31.4,29.4,0.574,9.2,14.8,12.1,19.6,2,1,12.7,32.3,0.221,8.1,12.2,25.9,1.4,4.7,12.1,14.6,4.4,7.6,12,5.4,2,0.6,4.8,4.3,37.8,120.2,106
3,Markieff Morris,21.81,208,111,1,3,38,89.47,24.4,29.1,0.642,13.9,24.7,19.7,11,1.9,4.9,16.2,25.5,0.257,10.3,12.1,20.5,1.5,3.7,6.4,9.5,6.4,13.2,19.6,3.3,1.9,2.7,4.8,6.7,32.1,121.5,88.1
3,Marcus Morris,21.81,206,106,1,3,38,92.11,28.3,29.3,0.625,11.5,19,15.5,11.4,1.7,2.4,11.4,26.9,0.269,10.9,12.8,22.4,1.4,4.1,7.9,11.5,5.3,10.2,15.5,3.3,1.7,1.3,3.6,5.2,34.9,126.5,92.5
