Name,Draft Year,POS,Group,Predicted Tier,Actual Tier
Derrick Williams,2011,"PF,SF",Wings,3.076,0
Alec Burks,2011,"SG,SF",Wings,3.832,3
Kawhi Leonard,2011,SF,Wings,3.5,7
Chris Singleton,2011,"SF,PF",Wings,1.204,0
Tobias Harris,2011,"PF,SF",Wings,4.14,5
Jordan Hamilton,2011,SF,Wings,2.16,0
Jimmy Butler,2011,"SG,SF",Wings,1.52,7
Kyle Singler,2011,SF,Wings,0.402,3
Tyler Honeycutt,2011,SF,Wings,1.238,0
Chandler Parsons,2011,"SF,PF",Wings,1.046,5
Michael Kidd-Gilchrist,2012,"SF,PF",Wings,3.764,3
Harrison Barnes,2012,"PF,SF",Wings,1.736,5
Terrence Ross,2012,"SG,SF",Wings,0.366,3
Maurice Harkless,2012,"SF,PF",Wings,2.426,3
Royce White,2012,"SF,PF",Wings,2.938,0
Terrence Jones,2012,"SF,PF",Wings,1.612,3
Jared Sullinger,2012,"SF,PF",Wings,1.37,3
Jeff Taylor,2012,SF,Wings,1.248,0
Jae Crowder,2012,"SF,PF",Wings,1.304,3
Draymond Green,2012,"PF,SF",Wings,1.514,7
Quincy Acy,2012,"PF,SF",Wings,0.872,0
Quincy Miller,2012,"SF,PF",Wings,3.406,0
Khris Middleton,2012,"SF,SG",Wings,0.646,7
Mike Scott,2012,"SF,PF",Wings,0.47,3
Darius Miller,2012,SF,Wings,2.412,0
Kris Joseph,2012,SF,Wings,1.674,0
Robbie Hummel,2012,SF,Wings,2.186,0
Anthony Bennett,2013,"SF,PF",Wings,1.752,0
Otto Porter Jr.,2013,"SF,PF",Wings,3.57,3
Shabazz Muhammad,2013,"SF,SG",Wings,1.822,0
Tony Snell,2013,"SG,SF",Wings,1.728,3
Solomon Hill,2013,"SF,PF",Wings,1.18,0
Reggie Bullock,2013,"SF,SG",Wings,2.042,3
Andre Roberson,2013,"SG,SF",Wings,1.088,3
Allen Crabbe,2013,"SG,SF",Wings,1.01,3
Tony Mitchell,2013,"SF,PF",Wings,0.656,0
James Ennis III,2013,"SF,SG",Wings,0.278,3
Romero Osby,2013,SF,Wings,0.972,0
Arsalan Kazemi,2013,"SF,PF",Wings,2.114,0
Deshaun Thomas,2013,"SF,PF",Wings,0.956,0
Andrew Wiggins,2014,"SF,PF",Wings,3.764,7
Jabari Parker,2014,"SF,PF",Wings,4.376,3
Aaron Gordon,2014,"PF,SF",Wings,3.684,5
Julius Randle,2014,"SF,PF",Wings,2.962,7
Doug McDermott,2014,"SF,PF",Wings,1.244,3
T.J. Warren,2014,"SF,PF",Wings,1.968,3
Jordan Adams,2014,"SG,SF",Wings,4.076,0
Rodney Hood,2014,"SG,SF",Wings,2.294,3
P.J. Hairston,2014,"SF,SG",Wings,2.898,0
Josh Huestis,2014,"SF,PF",Wings,0.858,0
Kyle Anderson,2014,"SF,PF",Wings,2.812,3
K.J. McDaniels,2014,"SF,SG",Wings,1.492,0
Cleanthony Early,2014,SF,Wings,1.198,0
Johnny O'Bryant,2014,"SF,PF",Wings,1.45,0
DeAndre Daniels,2014,"SF,PF",Wings,0.12,0
Jerami Grant,2014,"PF,SF",Wings,1.806,3
Glenn Robinson III,2014,"SF,SG",Wings,1.002,3
Cory Jefferson,2014,"SF,PF",Wings,0.702,0
Stanley Johnson,2015,"SF,PF",Wings,3.52,0
Justise Winslow,2015,"SF,SG",Wings,3.224,3
Trey Lyles,2015,"SF,PF",Wings,4.176,3
Kelly Oubre Jr.,2015,SF,Wings,4.564,3
Sam Dekker,2015,"SF,PF",Wings,2.132,0
Justin Anderson,2015,"SF,SG",Wings,3.178,0
Rondae Hollis-Jefferson,2015,"SF,PF",Wings,1.352,3
Jordan Mickey,2015,"SF,PF",Wings,0.698,0
Anthony Brown,2015,SF,Wings,0.972,0
Josh Richardson,2015,"SG,SF",Wings,2.602,3
Aaron White,2015,"SF,PF",Wings,1.032,0
Sir'Dominic Pointer,2015,"SG,SF",Wings,1.804,0
Branden Dawson,2015,"SF,PF",Wings,1.274,0
J.P. Tokoto,2015,"SF,PF",Wings,3.43,0
Brandon Ingram,2016,"SF,PF",Wings,3.96,7
Jaylen Brown,2016,"SF,SG",Wings,2.87,7
Marquese Chriss,2016,"SF,PF",Wings,2.926,3
Taurean Prince,2016,"PF,SF",Wings,1.15,3
Caris LeVert,2016,"SG,SF",Wings,2.484,3
DeAndre' Bembry,2016,"SF,SG",Wings,2.142,0
Brice Johnson,2016,"SF,PF",Wings,2.516,0
Pascal Siakam,2016,"SF,PF",Wings,0.854,7
Jake Layman,2016,SF,Wings,1.052,0
Georges Niang,2016,"SF,PF",Wings,1.162,3
Ben Bentil,2016,"SF,PF",Wings,1.122,0
Joel Bolomboy,2016,"SF,PF",Wings,3.686,0
Abdel Nader,2016,SF,Wings,0.832,0
Jayson Tatum,2017,"SF,PF",Wings,4.862,7
Josh Jackson,2017,"SF,SG",Wings,2.93,0
Jonathan Isaac,2017,"SF,PF",Wings,3.992,3
Justin Jackson,2017,"SF,PF",Wings,2.42,3
D.J. Wilson,2017,"SF,PF",Wings,0.942,0
John Collins,2017,"SF,PF",Wings,4.146,5
OG Anunoby,2017,"SF,PF",Wings,3.684,5
Tyler Lydon,2017,"SF,PF",Wings,0.868,0
Caleb Swanigan,2017,"SF,PF",Wings,3.188,0
Kyle Kuzma,2017,"PF,SF",Wings,0.462,3
Wes Iwundu,2017,SF,Wings,1.944,0
Semi Ojeleye,2017,"SF,PF",Wings,0.846,0
Dillon Brooks,2017,"SF,SG",Wings,2.034,5
Sterling Brown,2017,"SG,SF",Wings,1.494,0
Sindarius Thornwell,2017,"SG,SF",Wings,2.05,0
Alec Peters,2017,"SF,PF",Wings,1.558,0
Jaron Blossomgame,2017,SF,Wings,1.51,0
Kevin Knox,2018,"SF,PF",Wings,4.176,0
Mikal Bridges,2018,"SF,SG",Wings,2.182,5
Miles Bridges,2018,"SF,PF",Wings,1.216,5
Michael Porter Jr.,2018,SF,Wings,3.606,5
Troy Brown Jr.,2018,SF,Wings,4.004,0
Zhaire Smith,2018,"SG,SF",Wings,3.908,0
Kevin Huerter,2018,"SG,SF",Wings,4.042,5
Josh Okogie,2018,"SG,SF",Wings,3.014,3
Chandler Hutchison,2018,SF,Wings,2.16,0
Jarred Vanderbilt,2018,"SF,PF",Wings,3.55,3
Justin Jackson,2018,"SF,PF",Wings,2.034,0
Svi Mykhailiuk,2018,SF,Wings,2.746,3
Keita Bates-Diop,2018,"SF,PF",Wings,0.974,0
Vince Edwards,2018,SF,Wings,1.848,0
