Draft Year,Pick Number,NBA Team,Name,Age,College,Height,Weight,Dominant Hand,NBA Relatives,Seasons Played (College),POS,G,GS%,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
2011,1,CLE,Kyrie Irving,19.26,Duke,188,81,Right,1,1,G,11.0,72.73,27.5,5.0,9.5,0.529,1.6,3.5,0.462,5.8,6.5,0.901,2.8,0.5,3.4,4.3,1.5,0.5,2.5,2.1,17.5,32.5,0.697,0.375,0.683,0.0,2.3,10.6,6.7,29.8,3.0,1.8,16.4,26.4,1.8,0.6,2.4,0.32,9.8,5.0,14.8
2011,2,MIN,Derrick Williams,20.08,Arizona,203,106,Right,0,2,F,38.0,100.0,30.0,5.9,10.0,0.595,1.1,1.9,0.568,6.5,8.7,0.746,5.5,2.8,8.3,1.1,1.0,0.7,2.6,2.8,19.5,32.8,0.69,0.195,0.871,0.0,11.8,21.9,17.0,8.7,1.9,2.3,15.7,28.9,6.0,1.9,7.9,0.279,9.6,2.5,12.1
2011,4,CLE,Tristan Thompson,20.28,Texas,203,102,,0,1,F,36.0,94.44,30.7,4.8,8.8,0.546,0.0,0.0,0.0,3.5,7.3,0.487,4.0,3.8,7.8,1.3,0.9,2.4,1.8,2.8,13.1,24.2,0.536,0.0,0.829,0.0,14.0,13.7,13.8,8.1,1.8,7.2,12.7,22.4,2.8,2.7,5.5,0.2,4.4,4.5,8.9
2011,8,DET,Brandon Knight,19.56,Kentucky,190,83,Right,0,1,G,38.0,100.0,35.9,5.7,13.5,0.423,2.3,6.1,0.377,3.6,4.5,0.795,3.4,0.7,4.0,4.2,0.7,0.2,3.2,2.2,17.3,19.3,0.553,0.45,0.333,0.0,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27.0,3.6,1.8,5.3,0.157,4.5,0.9,5.5
2011,9,CHA,Kemba Walker,21.13,UConn,185,78,Right,0,3,G,41.0,100.0,37.6,7.7,18.0,0.428,1.8,5.5,0.33,6.3,7.7,0.819,4.1,1.3,5.4,4.5,1.9,0.2,2.3,1.4,23.5,29.9,0.543,0.307,0.426,0.0,3.9,11.5,7.9,28.0,3.1,0.5,9.5,32.4,7.3,2.4,9.7,0.251,9.2,3.9,13.1
2011,10,MIL,Jimmer Fredette,22.33,BYU,188,88,Right,0,4,G,37.0,100.0,35.8,9.4,20.7,0.452,3.4,8.5,0.396,6.8,7.6,0.894,2.8,0.6,3.4,4.3,1.3,0.0,3.5,1.3,28.9,30.9,0.594,0.409,0.369,0.0,2.0,8.3,5.2,28.8,2.1,0.1,12.7,37.8,6.6,1.9,8.5,0.256,10.0,0.8,10.8
2011,11,GSW,Klay Thompson,21.37,Washington State,198,90,Right,2,3,G,34.0,97.06,34.7,7.1,16.2,0.436,2.9,7.2,0.398,4.6,5.4,0.838,4.5,0.7,5.2,3.7,1.6,0.9,3.4,2.9,21.6,26.1,0.574,0.446,0.336,0.0,2.6,14.0,8.6,25.0,2.8,3.1,15.3,32.8,3.7,2.2,5.8,0.198,6.8,3.0,9.8
2011,12,UTA,Alec Burks,19.93,Colorado,198,88,Right,0,2,G,38.0,97.37,31.4,6.6,14.1,0.469,0.7,2.5,0.292,6.6,7.9,0.825,4.1,2.4,6.5,2.9,1.1,0.3,2.6,2.3,20.5,29.4,0.574,0.179,0.564,0.0,9.2,14.8,12.1,19.6,2.0,1.0,12.7,32.3,5.6,1.0,6.6,0.221,8.0,0.0,8.1
2011,13,PHO,Markieff Morris,21.81,Kansas,208,111,Right,1,3,C,38.0,89.47,24.4,5.1,8.7,0.589,0.7,1.6,0.424,2.7,4.0,0.673,5.6,2.7,8.3,1.4,0.8,1.1,2.1,2.8,13.6,29.1,0.642,0.178,0.462,0.0,13.9,24.7,19.7,11.0,1.9,4.9,16.2,25.5,3.6,2.4,6.0,0.257,6.7,3.6,10.3
2011,14,HOU,Marcus Morris,21.81,Kansas,206,106,Right,1,3,F,38.0,92.11,28.3,6.3,11.1,0.57,0.7,2.0,0.342,3.9,5.7,0.688,5.0,2.6,7.6,1.6,0.8,0.6,1.8,2.6,17.2,29.3,0.625,0.181,0.511,0.0,11.5,19.0,15.5,11.4,1.7,2.4,11.4,26.9,4.9,2.3,7.2,0.269,8.0,2.9,10.9
2011,15,IND,Kawhi Leonard,19.99,San Diego State,201,102,Right,0,2,F,36.0,100.0,32.6,5.9,13.2,0.444,0.7,2.4,0.291,3.1,4.0,0.759,7.5,3.1,10.6,2.5,1.4,0.6,2.1,2.5,15.5,26.5,0.512,0.181,0.305,0.0,11.4,26.2,19.0,16.0,2.7,1.9,12.3,27.6,3.6,3.2,6.8,0.231,5.3,3.9,9.2
2011,16,PHI,Nikola VuÄeviÄ,20.67,USC,208,99,Right,0,3,F,34.0,100.0,34.9,6.3,12.5,0.505,0.9,2.4,0.349,3.6,4.8,0.755,7.4,2.9,10.3,1.6,0.5,1.4,1.7,2.8,17.1,27.1,0.578,0.195,0.383,0.0,9.8,25.6,17.7,11.0,0.9,4.4,10.3,25.5,4.2,2.4,6.6,0.221,6.7,2.8,9.4
2011,17,NYK,Iman Shumpert,21.0,Georgia Tech,196,96,Right,0,3,G,31.0,100.0,32.0,5.7,14.1,0.406,1.4,4.9,0.278,4.5,5.6,0.806,4.2,1.7,5.9,3.5,2.7,0.2,2.3,2.8,17.3,25.4,0.517,0.346,0.401,0.0,5.7,16.4,10.6,25.7,5.0,0.7,12.2,29.1,2.8,2.1,4.9,0.196,5.4,4.2,9.6
