Draft Year,Pick Number,NBA Team,Name,Age,College,Height,Weight,NBA Relatives,Seasons Played (College),POS,G,GS%,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,FG/40,FGA/40,3P/40,3PA/40,FT/40,FTA/40,ORB/40,DRB/40,TRB/40,AST/40,STL/40,BLK/40,TOV/40,PF/40,PTS/40,FG/100,FGA/100,3P/100,3PA/100,FT/100,FTA/100,ORB/100,DRB/100,TRB/100,AST/100,STL/100,BLK/100,TOV/100,PF/100,PTS/100,ORtg,DRtg,AST/TOV,PTS/USG,3PA/FGA,3PAr_TS,ShotTouchBlend,Weight/Height,Team Dev Score,College Strength
2021,1,DET,Cade Cunningham,19.75,Oklahoma State,203,99,0,1,G,27.0,96.3,35.4,6.5,14.8,0.438,2.3,5.7,0.4,4.9,5.8,0.846,5.5,0.7,6.2,3.5,1.6,0.8,4.0,2.5,20.1,21.6,0.574,0.388,0.39,518.0,2.3,16.3,9.6,20.4,2.5,2.3,18.7,29.1,2.3,1.7,4.0,0.166,5.1,3.2,8.3,7.3,16.7,2.6,6.5,5.5,6.5,0.8,6.2,7.0,3.9,1.8,0.9,4.6,2.8,22.8,10.0,22.9,3.6,8.9,7.6,8.9,1.1,8.5,9.6,5.4,2.5,1.2,6.2,3.8,31.2,106.4,97.0,1.091,0.784,0.385,0.223,0.668,0.488,3,3
2021,3,CLE,Evan Mobley,20.02,USC,213,95,1,1,F,33.0,100.0,33.9,6.0,10.3,0.578,0.4,1.2,0.3,4.1,5.8,0.694,5.9,2.7,8.7,2.4,0.8,2.9,2.2,1.8,16.4,29.1,0.624,0.117,0.566,532.0,9.6,18.9,14.5,14.1,1.4,8.8,14.6,22.8,4.3,2.6,6.9,0.248,7.9,5.8,13.7,7.0,12.2,0.4,1.4,4.8,6.9,3.2,7.0,10.2,2.8,0.9,3.4,2.6,2.1,19.3,10.4,18.0,0.6,2.1,7.1,10.2,4.7,10.3,15.1,4.2,1.4,5.0,3.9,3.1,28.5,123.2,90.9,0.966,0.846,0.117,0.073,0.536,0.446,8,5.0
2021,4,TOR,Scottie Barnes,19.9,Florida State,206,102,0,1,G,24.0,29.17,24.8,4.1,8.1,0.503,0.5,1.7,0.275,1.7,2.8,0.621,2.5,1.5,4.0,4.1,1.5,0.5,2.5,2.2,10.3,21.4,0.548,0.205,0.338,283.0,7.4,11.1,9.3,31.6,3.4,2.1,20.7,23.7,1.5,1.0,2.4,0.164,4.3,3.6,7.9,6.6,13.1,0.7,2.7,2.8,4.4,2.4,4.1,6.5,6.6,2.4,0.7,4.0,3.5,16.7,9.4,18.7,1.1,3.8,3.9,6.3,3.4,5.9,9.2,9.4,3.4,1.1,5.7,5.0,23.8,109.3,98.3,1.527,0.705,0.21,0.112,0.483,0.495,10,5.0
2021,5,ORL,Jalen Suggs,20.06,Gonzaga,193,92,0,1,G,30.0,100.0,28.9,5.2,10.3,0.503,1.2,3.5,0.337,2.9,3.8,0.754,4.7,0.6,5.3,4.5,1.9,0.3,2.9,2.6,14.4,22.6,0.595,0.338,0.37,454.0,2.7,18.0,11.0,23.7,3.5,1.1,19.5,24.8,2.5,2.1,4.6,0.21,4.8,4.6,9.4,7.1,14.2,1.6,4.8,4.0,5.3,0.8,6.5,7.4,6.3,2.6,0.5,4.1,3.6,19.9,9.6,19.0,2.2,6.4,5.3,7.0,1.1,8.8,9.9,8.4,3.5,0.6,5.4,4.8,26.6,112.4,90.8,1.215,0.802,0.34,0.201,0.587,0.477,4,6
2021,8,ORL,Franz Wagner,19.83,Michigan,206,99,1,2,G,28.0,100.0,31.7,4.4,9.3,0.477,1.3,3.6,0.343,2.4,2.8,0.835,5.8,0.7,6.5,3.0,1.3,1.0,1.3,2.2,12.5,22.1,0.587,0.392,0.304,345.0,2.9,19.6,12.1,17.4,2.3,3.2,10.8,19.7,2.7,2.0,4.7,0.21,5.8,6.1,11.9,5.6,11.7,1.6,4.6,3.0,3.6,0.9,7.4,8.3,3.8,1.6,1.3,1.6,2.8,15.7,8.2,17.3,2.3,6.8,4.4,5.3,1.3,10.8,12.2,5.6,2.3,1.9,2.4,4.1,23.2,121.5,92.3,1.611,0.797,0.387,0.23,0.638,0.481,4,5.0
2021,9,SAC,Davion Mitchell,22.8,Baylor,188,92,0,4,G,30.0,100.0,33.0,5.3,10.3,0.511,2.1,4.7,0.447,1.4,2.1,0.641,2.2,0.5,2.7,5.5,1.9,0.4,2.4,2.4,14.0,21.8,0.619,0.456,0.207,442.0,1.7,8.0,4.8,27.7,3.3,1.2,17.7,20.3,3.5,1.9,5.3,0.215,6.4,3.7,10.1,6.4,12.5,2.5,5.7,1.7,2.6,0.6,2.7,3.2,6.7,2.3,0.4,2.9,2.9,17.0,9.2,17.9,3.7,8.2,2.4,3.7,0.8,3.8,4.6,9.6,3.3,0.6,4.2,4.1,24.4,123.0,96.0,1.565,0.837,0.456,0.282,0.563,0.489,1,6
2021,10,NOP,Ziaire Williams,19.78,Stanford,203,83,0,1,F,20.0,70.0,27.9,3.8,10.2,0.374,1.2,4.0,0.291,2.0,2.5,0.796,4.1,0.5,4.6,2.2,0.9,0.6,2.9,2.4,10.7,11.2,0.473,0.389,0.241,213.0,2.4,16.4,9.9,16.4,1.7,2.2,20.4,26.5,-0.2,0.9,0.6,0.046,-1.2,1.5,0.3,5.4,14.6,1.6,5.7,2.8,3.5,0.7,5.8,6.5,3.2,1.2,0.8,4.2,3.4,15.3,7.8,20.9,2.4,8.1,4.0,5.0,1.0,8.3,9.4,4.5,1.7,1.1,6.0,4.9,22.0,86.3,99.2,0.804,0.577,0.392,0.184,0.594,0.409,1,5.0
2021,11,CHO,James Bouknight,20.77,UConn,196,86,0,2,G,15.0,93.33,31.7,6.5,14.6,0.447,1.5,5.0,0.293,4.2,5.4,0.778,4.1,1.5,5.7,1.8,1.1,0.3,2.8,1.9,18.7,23.3,0.546,0.342,0.37,253.0,5.3,15.1,10.1,12.8,2.2,0.9,14.0,31.6,1.3,0.8,2.1,0.179,6.1,2.5,8.6,8.3,18.4,1.9,6.3,5.3,6.8,1.9,5.2,7.2,2.3,1.4,0.3,3.5,2.4,23.7,12.5,27.9,2.8,9.5,8.0,10.3,2.9,7.9,10.8,3.4,2.2,0.5,5.3,3.6,35.7,108.7,98.4,0.914,0.75,0.342,0.187,0.584,0.439,5.0,5.0
2021,12,SAS,Joshua Primo,18.5,Alabama,198,86,0,1,G,30.0,63.33,22.5,2.8,6.5,0.431,1.4,3.8,0.381,1.1,1.5,0.75,2.3,1.0,3.4,0.8,0.6,0.3,1.4,1.7,8.1,13.2,0.565,0.579,0.226,226.0,4.7,10.5,7.6,6.5,1.4,1.3,16.0,17.6,1.0,1.1,2.1,0.125,1.6,2.1,3.7,5.0,11.6,2.6,6.7,2.0,2.6,1.8,4.2,6.0,1.5,1.0,0.5,2.4,3.0,14.5,6.7,15.5,3.4,9.0,2.6,3.5,2.5,5.6,8.0,2.0,1.4,0.7,3.3,4.0,19.4,107.8,98.7,0.406,0.824,0.585,0.327,0.602,0.434,10,3
2021,13,IND,Chris Duarte,24.03,Oregon,198,86,0,2,G,26.0,100.0,34.1,6.2,11.6,0.532,2.3,5.5,0.424,2.5,3.0,0.81,3.9,0.7,4.6,2.7,1.9,0.8,2.3,1.4,17.1,26.6,0.657,0.478,0.262,406.0,2.7,14.5,8.6,15.9,3.4,2.9,14.8,23.9,3.3,1.4,4.7,0.211,8.0,3.5,11.5,7.2,13.6,2.8,6.5,2.9,3.6,0.9,4.6,5.4,3.1,2.2,0.9,2.7,1.6,20.1,11.0,20.7,4.2,9.9,4.4,5.4,1.3,6.9,8.2,4.7,3.4,1.4,4.0,2.5,30.5,122.1,99.1,1.074,0.841,0.474,0.314,0.656,0.434,8,5
2021,14,GSW,Moses Moody,19.07,Arkansas,198,92,0,1,G,32.0,100.0,33.8,5.2,12.1,0.427,1.8,5.1,0.358,4.7,5.8,0.812,3.8,2.0,5.8,1.6,1.0,0.7,1.6,2.3,16.8,20.4,0.568,0.42,0.482,511.0,6.3,11.8,9.0,8.2,1.6,2.0,9.9,22.3,3.4,1.8,5.2,0.193,5.2,2.3,7.4,6.1,14.3,2.1,6.0,5.6,6.9,2.4,4.4,6.8,1.9,1.2,0.8,1.9,2.7,19.9,8.1,19.0,2.9,8.0,7.4,9.2,3.2,5.9,9.1,2.5,1.6,1.0,2.6,3.6,26.5,119.5,98.1,0.828,0.892,0.421,0.239,0.63,0.465,9,5.0
2021,15,WAS,Corey Kispert,22.31,Gonzaga,201,99,0,4,F,32.0,100.0,31.8,6.5,12.3,0.529,2.8,6.5,0.44,2.7,3.1,0.878,4.0,0.9,5.0,1.8,0.9,0.4,1.3,1.7,18.6,25.4,0.674,0.524,0.248,518.0,3.8,13.9,9.3,9.0,1.5,1.4,8.7,22.7,4.6,1.8,6.4,0.251,9.1,2.0,11.1,8.2,15.5,3.6,8.1,3.4,3.8,1.2,5.1,6.2,2.3,1.1,0.5,1.6,2.1,23.4,11.0,20.8,4.8,10.9,4.5,5.2,1.6,6.8,8.4,3.1,1.5,0.7,2.2,2.8,31.3,133.1,96.6,1.034,1.031,0.528,0.353,0.703,0.493,1,6
2021,17,MEM,Trey Murphy III,21.02,Virginia,206,93,0,3,G,25.0,80.0,29.6,3.8,7.6,0.503,2.1,4.8,0.433,1.5,1.6,0.927,2.8,0.6,3.4,1.2,0.8,0.4,0.8,2.0,11.3,20.9,0.67,0.628,0.215,248.0,2.8,11.7,7.6,8.2,1.8,1.8,8.3,18.4,2.5,0.9,3.5,0.189,5.9,2.4,8.4,5.2,10.3,2.8,6.5,2.1,2.2,0.8,3.8,4.6,1.6,1.1,0.6,1.0,2.7,15.3,8.5,17.0,4.6,10.7,3.4,3.6,1.3,6.2,7.6,2.7,1.8,1.0,1.7,4.4,25.1,129.8,102.0,0.988,0.832,0.632,0.421,0.729,0.451,7,3
2021,18,OKC,Tre Mann,20.39,Florida,196,86,0,2,G,24.0,100.0,32.4,5.5,12.1,0.459,1.9,4.7,0.402,3.1,3.7,0.831,5.0,0.7,5.6,3.5,1.4,0.1,2.8,2.4,16.0,21.1,0.579,0.386,0.307,382.0,2.6,16.9,10.2,21.9,2.4,0.4,17.0,25.8,2.2,1.2,3.3,0.172,5.0,2.0,7.0,6.8,14.9,2.3,5.8,3.8,4.6,0.8,6.1,6.9,4.3,1.7,0.2,3.5,2.9,19.8,9.7,21.2,3.3,8.2,5.4,6.5,1.2,8.7,9.8,6.1,2.4,0.2,5.0,4.2,28.1,111.7,99.6,1.288,0.767,0.388,0.223,0.659,0.439,10,7
2021,19,NYK,Kai Jones,20.43,Texas,211,98,0,2,F,26.0,15.38,22.8,3.2,5.5,0.58,0.5,1.3,0.382,2.0,2.8,0.689,2.9,2.0,4.8,0.6,0.8,0.9,1.4,2.7,8.8,20.7,0.646,0.238,0.517,220.0,10.0,13.5,11.8,5.4,2.1,4.2,16.8,18.0,1.6,1.1,2.7,0.183,4.0,3.5,7.5,5.6,9.6,0.9,2.3,3.4,5.0,3.4,5.1,8.5,1.1,1.5,1.6,2.4,4.6,15.5,8.0,13.8,1.3,3.3,4.9,7.2,4.9,7.3,12.2,1.5,2.1,2.3,3.5,6.7,22.3,120.2,96.3,0.321,0.861,0.236,0.154,0.566,0.464,4,6
2021,20,ATL,Jalen Johnson,19.52,Duke,206,99,0,1,F,13.0,61.54,21.4,4.4,8.4,0.523,0.6,1.4,0.444,1.8,2.9,0.632,4.5,1.5,6.1,2.2,1.2,1.2,2.5,2.2,11.2,25.8,0.575,0.165,0.349,143.0,8.3,25.2,16.6,20.5,3.1,6.0,20.6,28.6,0.6,0.5,1.1,0.162,4.3,4.2,8.5,8.2,15.7,1.2,2.6,3.5,5.5,2.9,8.5,11.4,4.2,2.2,2.3,4.7,4.2,21.0,11.9,22.7,1.7,3.7,5.0,7.9,4.2,12.3,16.4,6.0,3.1,3.3,6.9,6.0,30.4,104.3,95.4,0.995,0.734,0.167,0.095,0.557,0.481,5,10
2021,21,NYK,Keon Johnson,19.29,Tennessee,196,84,0,1,G,27.0,62.96,25.5,4.1,9.1,0.449,0.5,1.8,0.271,2.6,3.7,0.703,2.4,1.1,3.5,2.5,1.1,0.4,2.6,2.4,11.3,16.3,0.519,0.194,0.409,302.0,4.8,11.0,7.9,20.7,2.5,2.0,19.4,26.8,0.7,1.4,2.1,0.124,1.0,3.1,4.1,6.5,14.4,0.8,2.8,4.1,5.9,1.7,3.8,5.5,3.9,1.7,0.7,4.1,3.7,17.8,9.4,20.9,1.1,4.1,6.0,8.5,2.5,5.6,8.0,5.7,2.5,1.0,6.0,5.4,25.9,97.7,94.5,1.067,0.664,0.198,0.101,0.53,0.429,4,5
2021,22,LAL,Isaiah Jackson,19.46,Kentucky,208,93,0,1,F,25.0,72.0,20.8,3.0,5.5,0.54,0.0,0.1,0.0,2.5,3.6,0.7,4.5,2.1,6.6,0.7,0.8,2.6,1.5,3.0,8.4,25.3,0.587,0.015,0.657,208.0,11.2,23.3,17.3,7.4,2.1,12.7,17.5,20.5,1.2,1.2,2.4,0.187,2.3,6.0,8.3,5.7,10.6,0.0,0.2,4.9,6.9,4.1,8.6,12.7,1.4,1.5,5.0,2.9,5.8,16.3,8.2,15.1,0.0,0.2,6.9,9.9,5.8,12.3,18.2,2.0,2.1,7.2,4.2,8.3,23.2,111.9,90.7,0.423,0.795,0.018,0.009,0.42,0.447,3,10
