=== Hold-Out Predictions by Draft Year (Grouped & Sorted) ===


--- Draft Class 2011, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Tristan Thompson               | C,PF  |       2.12 |     3.00
   2 | JaJuan Johnson                 | PF    |       1.96 |     0.00
   3 | Kenneth Faried                 | PF,C  |       1.94 |     3.00
   4 | Markieff Morris                | PF    |       1.54 |     3.00
   5 | Jimmy Butler                   | PF    |       1.52 |     5.00
   6 | Jordan Williams                | C     |       1.47 |     0.00
   7 | Nikola VuÄeviÄ               | C     |       1.34 |     4.50
   8 | Josh Harrellson                | C,PF  |       1.12 |     0.50
   9 | Ater Majok                     | PF,C  |       0.94 |     0.00
  10 | Justin Harper                  | PF    |       0.90 |     0.50
  11 | Jon Leuer                      | PF,C  |       0.83 |     1.00
  12 | Trey Thompkins                 | C     |       0.80 |     0.00
  13 | Lavoy Allen                    | PF,C  |       0.80 |     1.00
  14 | Keith Benson                   | C     |       0.79 |     0.00
  15 | Vernon Macklin                 | C     |       0.66 |     0.00

--- Draft Class 2012, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Anthony Davis                  | C,PF  |       3.12 |     5.00
   2 | Terrence Jones                 | PF    |       2.28 |     2.50
   3 | Jared Sullinger                | PF    |       2.13 |     2.50
   4 | Thomas Robinson                | PF    |       2.11 |     0.50
   5 | Andre Drummond                 | C     |       2.00 |     4.50
   6 | Tyler Zeller                   | C     |       1.84 |     1.00
   7 | Quincy Miller                  | PF    |       1.81 |     0.50
   8 | Meyers Leonard                 | C,PF  |       1.63 |     2.50
   9 | Royce White                    | PF    |       1.62 |     0.00
  10 | John Henson                    | C,PF  |       1.12 |     1.00
  11 | Fab Melo                       | C     |       1.11 |     0.00
  12 | Bernard James                  | C     |       0.93 |     0.50
  13 | Mike Scott                     | PF    |       0.87 |     2.50
  14 | Justin Hamilton                | C     |       0.86 |     0.50
  15 | Andrew Nicholson               | PF    |       0.84 |     0.50
  16 | Miles Plumlee                  | C     |       0.81 |     2.50
  17 | Kyle O'Quinn                   | C,PF  |       0.62 |     1.00
  18 | Arnett Moultrie                | PF    |       0.48 |     0.00
  19 | Festus Ezeli                   | C     |       0.45 |     0.50
  20 | Robert Sacre                   | C     |       0.43 |     0.50

--- Draft Class 2013, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Nerlens Noel                   | C,PF  |       3.21 |     2.50
   2 | Cody Zeller                    | C     |       2.31 |     2.50
