=== Hold-Out Predictions by Draft Year (Grouped & Sorted) ===


--- Draft Class 2011, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Tristan Thompson               | C,PF  |       2.18 |     3.00
   2 | Kenneth Faried                 | PF,C  |       2.10 |     3.00
   3 | JaJuan Johnson                 | PF    |       2.07 |     0.00
   4 | Jordan Williams                | C     |       1.56 |     0.00
   5 | Markieff Morris                | PF    |       1.36 |     3.00
   6 | Josh Harrellson                | C,PF  |       1.33 |     0.50
   7 | Nikola VuÄeviÄ               | C     |       1.33 |     4.50
   8 | Ater Majok                     | PF,C  |       0.91 |     0.00
   9 | Justin Harper                  | PF    |       0.90 |     0.50
  10 | Jon Leuer                      | PF,C  |       0.70 |     1.00
  11 | Trey Thompkins                 | C     |       0.67 |     0.00
  12 | Lavoy Allen                    | PF,C  |       0.57 |     1.00
  13 | Vernon Macklin                 | C     |       0.48 |     0.00
  14 | Keith Benson                   | C     |       0.39 |     0.00

--- Draft Class 2012, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Anthony Davis                  | C,PF  |       3.15 |     5.00
   2 | Thomas Robinson                | PF    |       2.51 |     0.50
   3 | Jared Sullinger                | PF    |       2.44 |     2.50
   4 | Terrence Jones                 | PF    |       2.31 |     2.50
   5 | Meyers Leonard                 | C,PF  |       1.73 |     2.50
   6 | Quincy Miller                  | PF    |       1.71 |     0.50
   7 | Andre Drummond                 | C     |       1.70 |     4.50
   8 | Tyler Zeller                   | C     |       1.65 |     1.00
   9 | Royce White                    | PF    |       1.50 |     0.00
  10 | John Henson                    | C,PF  |       1.19 |     1.00
  11 | Mike Scott                     | PF    |       1.19 |     2.50
  12 | Fab Melo                       | C     |       1.12 |     0.00
  13 | Kyle O'Quinn                   | C,PF  |       0.92 |     1.00
  14 | Andrew Nicholson               | PF    |       0.83 |     0.50
  15 | Justin Hamilton                | C     |       0.82 |     0.50
  16 | Bernard James                  | C     |       0.81 |     0.50
  17 | Miles Plumlee                  | C     |       0.54 |     2.50
  18 | Festus Ezeli                   | C     |       0.45 |     0.50
  19 | Robert Sacre                   | C     |       0.41 |     0.50
  20 | Arnett Moultrie                | PF    |       0.29 |     0.00

--- Draft Class 2013, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Nerlens Noel                   | C,PF  |       3.17 |     2.50
   2 | Cody Zeller                    | C     |       2.33 |     2.50
   3 | Anthony Bennett                | PF    |       2.01 |     0.50
   4 | Erik Murphy                    | C     |       1.75 |     0.00
   5 | Alex Len                       | C     |       1.72 |     2.50
   6 | Grant Jerrett                  | PF    |       1.64 |     0.00
   7 | Kelly Olynyk                   | C,PF  |       1.64 |     2.50
   8 | Arsalan Kazemi                 | PF    |       1.59 |     0.00
   9 | Mike Muscala                   | C,PF  |       1.55 |     2.50
  10 | Steven Adams                   | C     |       1.53 |     4.00
  11 | Mason Plumlee                  | C     |       1.50 |     3.00
  12 | Jeff Withey                    | C     |       1.39 |     0.50
  13 | Gorgui Dieng                   | C,PF  |       1.32 |     1.00
  14 | Ryan Kelly                     | PF    |       1.23 |     1.00
  15 | Alex Oriakhi                   | C     |       1.05 |     0.00
  16 | Tony Mitchell                  | PF    |       0.98 |     0.00
  17 | Colton Iverson                 | C     |       0.41 |     0.00

--- Draft Class 2014, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Jarnell Stokes                 | C,PF  |       2.36 |     0.50
   2 | Noah Vonleh                    | PF,C  |       2.11 |     1.00
   3 | Joel Embiid                    | C     |       2.03 |     5.00
   4 | Jabari Parker                  | PF    |       1.92 |     3.00
   5 | Julius Randle                  | PF,C  |       1.64 |     4.50
   6 | Cameron Bairstow               | C,PF  |       1.05 |     0.00
   7 | Mitch McGary                   | PF    |       0.95 |     0.00
   8 | Alec Brown                     | PF,C  |       0.90 |     0.00
   9 | Josh Huestis                   | PF    |       0.68 |     0.50
  10 | Dwight Powell                  | C,PF  |       0.65 |     2.50
  11 | Adreian Payne                  | PF    |       0.62 |     0.50
  12 | Johnny O'Bryant                | PF    |       0.53 |     0.50
  13 | Cory Jefferson                 | PF    |       0.47 |     0.00

--- Draft Class 2015, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Karl-Anthony Towns             | C,PF  |       3.13 |     4.50
   2 | Jahlil Okafor                  | C     |       2.95 |     2.50
   3 | Dakari Johnson                 | C     |       2.63 |     0.00
   4 | Kevon Looney                   | C,PF  |       2.12 |     3.00
   5 | Frank Kaminsky                 | C,PF  |       1.82 |     1.00
   6 | Chris McCullough               | PF    |       1.75 |     0.50
   7 | Myles Turner                   | C     |       1.68 |     4.00
   8 | Bobby Portis                   | PF,C  |       1.65 |     3.00
   9 | Willie Cauley-Stein            | C     |       1.62 |     2.50
  10 | Trey Lyles                     | PF    |       1.55 |     2.50
  11 | Aaron White                    | PF    |       1.52 |     0.00
  12 | Jordan Mickey                  | PF    |       1.17 |     0.50
  13 | Montrezl Harrell               | C,PF  |       1.09 |     4.00
  14 | Sam Dekker                     | PF    |       1.03 |     1.00
  15 | Larry Nance Jr.                | PF,C  |       0.98 |     3.00
  16 | Rakeem Christmas               | PF    |       0.95 |     0.00
  17 | Branden Dawson                 | PF    |       0.82 |     0.00
  18 | Richaun Holmes                 | C,PF  |       0.60 |     2.50
  19 | Jarell Martin                  | PF    |       0.56 |     0.50
  20 | Cady Lalanne                   | C     |       0.52 |     0.00

--- Draft Class 2016, No Draft Context ---

Rank | Name                           |   POS |  Predicted |   Actual
-----------------------------------------------------------------
   1 | Chinanu Onuaku                 | C     |       2.66 |     0.00
   2 | Brice Johnson                  | PF    |       2.07 |     0.00
   3 | Marquese Chriss                | PF    |       2.07 |     2.50
   4 | Diamond Stone                  | C     |       2.03 |     0.00
   5 | Henry Ellenson                 | PF,C  |       1.99 |     0.50
   6 | Jakob Poeltl                   | C     |       1.90 |     3.00
   7 | Cheick Diallo                  | C,PF  |       1.84 |     0.50
   8 | Deyonta Davis                  | C     |       1.76 |     0.50
