Name,Draft Year,POS,Group,Predicted Tier,Actual Tier
Kyrie Irving,2011,"PG,SG",Guards,5.42,7
Brandon Knight,2011,"PG,SG",Guards,2.47,5
Kemba Walker,2011,PG,Guards,2.29,7
Jimmer Fredette,2011,"SG,PG",Guards,3.33,0
Klay Thompson,2011,SG,Guards,2.51,7
Iman Shumpert,2011,SG,Guards,3.32,3
Nolan Smith,2011,PG,Guards,1.56,0
Sharife Cooper,2021,PG,Guards,3.12,0
MarShon Brooks,2011,SG,Guards,2.66,0
Norris Cole,2011,PG,Guards,1.13,0
Cory Joseph,2011,"PG,SG",Guards,3.05,3
Shelvin Mack,2011,"PG,SG",Guards,0.49,0
Darius Morris,2011,PG,Guards,0.85,0
Malcolm Lee,2011,SG,Guards,0.91,0
Charles Jenkins,2011,"PG,SG",Guards,3.27,0
Dennis Smith Jr.,2017,PG,Guards,2.37,3
Andrew Goudelock,2011,"SG,PG",Guards,0.3,0
Travis Leslie,2011,SG,Guards,1.73,0
Josh Selby,2011,PG,Guards,2.16,0
Justin Wright-Foreman,2019,PG,Guards,1.87,0
Jon Diebler,2011,SG,Guards,2.43,0
Saben Lee,2020,PG,Guards,0.58,0
DeAndre Liggins,2011,SG,Guards,0.3,0
E'Twaun Moore,2011,"SG,PG",Guards,1.09,3
Malik Monk,2017,SG,Guards,5.76,5
Isaiah Thomas,2011,"PG,SG",Guards,0.21,7
Bradley Beal,2012,SG,Guards,4.1,7
Dion Waiters,2012,SG,Guards,3.3,3
Damian Lillard,2012,PG,Guards,2.49,7
Austin Rivers,2012,"SG,PG",Guards,1.53,3
Jeremy Lamb,2012,SG,Guards,4.22,3
Kendall Marshall,2012,PG,Guards,0.77,0
John Jenkins,2012,SG,Guards,3.68,0
Jared Cunningham,2012,SG,Guards,0.46,0
Tony Wroten,2012,"PG,SG",Guards,2.72,0
Marquis Teague,2012,"SG,PG",Guards,3.69,0
Orlando Johnson,2012,SG,Guards,2.2,0
Will Barton,2012,SG,Guards,2.11,3
Tyshawn Taylor,2012,PG,Guards,0.29,0
Doron Lamb,2012,SG,Guards,1.26,0
Kim English,2012,SG,Guards,0.88,0
Tyrese Maxey,2020,"PG,SG",Guards,1.4,7
Kevin Murphy,2012,SG,Guards,0.79,0
Darius Johnson-Odom,2012,SG,Guards,0.47,0
Marcus Denmon,2012,SG,Guards,1.49,0
Ja Morant,2019,PG,Guards,5.27,7
Reggie Jackson,2011,"PG,SG",Guards,2.82,3
Victor Oladipo,2013,"SG,PG",Guards,3.03,7
Ben McLemore,2013,SG,Guards,3.85,3
Kentavious Caldwell-Pope,2013,SG,Guards,3.34,5
Trey Burke,2013,PG,Guards,2.22,3
CJ McCollum,2013,"SG,PG",Guards,1.27,7
Michael Carter-Williams,2013,"PG,SG",Guards,2.09,3
Shane Larkin,2013,PG,Guards,2.85,0
Tim Hardaway Jr.,2013,SG,Guards,0.85,3
Archie Goodwin,2013,"SG,PG",Guards,1.11,0
Carrick Felix,2013,SG,Guards,0.55,0
Isaiah Canaan,2013,"PG,SG",Guards,0.12,0
Glen Rice Jr.,2013,SG,Guards,1.07,0
Ray McCallum,2013,PG,Guards,0.33,0
Nate Wolters,2013,PG,Guards,1.79,0
Jamaal Franklin,2013,SG,Guards,0.44,0
Pierre Jackson,2013,PG,Guards,2.92,0
Erick Green,2013,PG,Guards,2.17,0
Jalen Suggs,2021,"SG,PG",Guards,4.65,5
Lorenzo Brown,2013,PG,Guards,0.9,0
Cam Thomas,2021,SG,Guards,3.51,3
Peyton Siva,2013,SG,Guards,0.32,0
Desmond Bane,2020,SG,Guards,2.17,7
Sam Merrill,2020,SG,Guards,2.6,3
Jamal Murray,2016,"PG,SG",Guards,5.14,7
Marcus Smart,2014,"PG,SG",Guards,4.62,5
Nik Stauskas,2014,SG,Guards,2.03,0
Elfrid Payton,2014,PG,Guards,1.35,5
Zach LaVine,2014,SG,Guards,2.05,7
James Young,2014,SG,Guards,2.05,0
Tyler Ennis,2014,PG,Guards,4.2,0
Gary Harris,2014,SG,Guards,5.27,5
Tyrese Haliburton,2020,"PG,SG",Guards,3.61,7
Shabazz Napier,2014,PG,Guards,1.05,0
C.J. Wilcox,2014,SG,Guards,0.61,0
Dejounte Murray,2016,"PG,SG",Guards,1.86,7
Joe Harris,2014,SG,Guards,1.38,3
Spencer Dinwiddie,2014,"PG,SG",Guards,2.17,3
Nick Johnson,2014,SG,Guards,2.28,0
Markel Brown,2014,SG,Guards,0.74,0
Jordan Clarkson,2014,"SG,PG",Guards,0.21,3
Russ Smith,2014,PG,Guards,2.08,0
