Name,Draft Year,Pick Number,POS,Predicted Score,Actual Tier,Position Group
Kyrie Irving,2011,1,"PG,SG",5.483,7,Guard
Derrick Williams,2011,2,"PF,SF",3.873,0,Wing
Tristan Thompson,2011,4,"C,PF",2.047,5,Big
Brandon Knight,2011,8,"PG,SG",3.286,5,Guard
Kemba Walker,2011,9,PG,1.901,7,Guard
Jimmer Fredette,2011,10,"SG,PG",3.115,0,Guard
Klay Thompson,2011,11,SG,3.44,7,Guard
Alec Burks,2011,12,"SG,SF",2.302,3,Wing
Markieff Morris,2011,13,"PF,C",2.11,5,Big
Marcus Morris,2011,14,"PF,C",2.269,5,Big
Kawhi Leonard,2011,15,SF,4.208,7,Wing
Nikola VuÄeviÄ,2011,16,C,1.035,7,Big
Iman Shumpert,2011,17,SG,3.736,3,Guard
Chris Singleton,2011,18,"SF,PF",1.451,0,Wing
Tobias Harris,2011,19,"PF,SF",4.553,5,Wing
Nolan Smith,2011,21,PG,0.563,0,Guard
Kenneth Faried,2011,22,"PF,C",2.932,5,Big
Reggie Jackson,2011,24,"PG,SG",2.624,3,Guard
MarShon Brooks,2011,25,SG,2.492,0,Guard
Jordan Hamilton,2011,26,SF,1.89,0,Wing
JaJuan Johnson,2011,27,"PF,C",0.873,0,Big
Norris Cole,2011,28,PG,0.787,0,Guard
Cory Joseph,2011,29,"PG,SG",2.723,3,Guard
Jimmy Butler,2011,30,"SG,SF",1.716,7,Wing
Justin Harper,2011,32,"PF,C",1.665,0,Big
Kyle Singler,2011,33,SF,0.836,3,Wing
Shelvin Mack,2011,34,"PG,SG",0.8,0,Guard
Tyler Honeycutt,2011,35,SF,1.624,0,Wing
Jordan Williams,2011,36,C,1.321,0,Big
Trey Thompkins,2011,37,C,1.113,0,Big
Chandler Parsons,2011,38,"SF,PF",1.39,5,Wing
Jon Leuer,2011,40,"PF,C",0.962,0,Big
Darius Morris,2011,41,PG,1.419,0,Guard
Malcolm Lee,2011,43,SG,1.283,0,Guard
Charles Jenkins,2011,44,"PG,SG",2.542,0,Guard
Josh Harrellson,2011,45,"C,PF",1.827,0,Big
Andrew Goudelock,2011,46,"SG,PG",0.226,0,Guard
Travis Leslie,2011,47,SG,1.445,0,Guard
Keith Benson,2011,48,C,0.711,0,Big
Josh Selby,2011,49,PG,2.024,0,Guard
Lavoy Allen,2011,50,"PF,C",0.847,0,Big
Jon Diebler,2011,51,SG,2.506,0,Guard
Vernon Macklin,2011,52,C,0.286,0,Big
DeAndre Liggins,2011,53,SG,0.43,0,Guard
E'Twaun Moore,2011,55,"SG,PG",1.558,3,Guard
Ater Majok,2011,58,"PF,C",0.726,0,Big
Isaiah Thomas,2011,60,"PG,SG",0.179,0,Guard
Anthony Davis,2012,1,"C,PF",5.005,7,Big
Michael Kidd-Gilchrist,2012,2,"SF,PF",4.67,3,Wing
Bradley Beal,2012,3,SG,3.962,7,Guard
Dion Waiters,2012,4,SG,3,3,Guard
Thomas Robinson,2012,5,"PF,C",2.927,0,Big
Damian Lillard,2012,6,PG,3.789,7,Guard
Harrison Barnes,2012,7,"PF,SF",3.189,5,Wing
Terrence Ross,2012,8,"SG,SF",0.549,3,Wing
Andre Drummond,2012,9,C,3.464,7,Big
Austin Rivers,2012,10,"SG,PG",1.251,3,Guard
Meyers Leonard,2012,11,"C,PF",1.667,3,Big
Jeremy Lamb,2012,12,SG,3.879,3,Guard
Kendall Marshall,2012,13,PG,0.578,0,Guard
John Henson,2012,14,"C,PF",1.572,3,Big
Maurice Harkless,2012,15,"SF,PF",2.837,3,Wing
Royce White,2012,16,"SF,PF",1.96,0,Wing
Tyler Zeller,2012,17,C,1.717,3,Big
Terrence Jones,2012,18,"SF,PF",2.085,3,Wing
Andrew Nicholson,2012,19,"PF,C",1.3,0,Big
Jared Sullinger,2012,21,"SF,PF",1.094,3,Wing
Fab Melo,2012,22,C,0.935,0,Big
John Jenkins,2012,23,SG,3.259,0,Guard
Jared Cunningham,2012,24,SG,0.772,0,Guard
Tony Wroten,2012,25,"PG,SG",2.783,0,Guard
Miles Plumlee,2012,26,C,0.654,3,Big
Arnett Moultrie,2012,27,"PF,C",0.305,0,Big
Perry Jones,2012,28,"PF,C",0.611,0,Big
Marquis Teague,2012,29,"SG,PG",3.663,0,Guard
Festus Ezeli,2012,30,C,1.147,0,Big
Jeff Taylor,2012,31,SF,1.239,0,Wing
Bernard James,2012,33,C,0.47,0,Big
Jae Crowder,2012,34,"SF,PF",1.246,3,Wing
Draymond Green,2012,35,"PF,C",2.664,7,Big
Orlando Johnson,2012,36,SG,2.094,0,Guard
Quincy Acy,2012,37,"PF,SF",1.218,0,Wing
Quincy Miller,2012,38,"SF,PF",3.159,0,Wing
Khris Middleton,2012,39,"SF,SG",1.18,7,Wing
Will Barton,2012,40,SG,1.741,3,Guard
Tyshawn Taylor,2012,41,PG,0.38,0,Guard
Doron Lamb,2012,42,SG,1.568,0,Guard
Mike Scott,2012,43,"SF,PF",0.441,3,Wing
Kim English,2012,44,SG,1.181,0,Guard
Justin Hamilton,2012,45,C,0.749,0,Big
Darius Miller,2012,46,SF,2.278,0,Wing
Kevin Murphy,2012,47,SG,0.738,0,Guard
Kyle O'Quinn,2012,49,"C,PF",0.546,0,Big
Kris Joseph,2012,51,SF,1.539,0,Wing
Darius Johnson-Odom,2012,55,SG,0.451,0,Guard
Robbie Hummel,2012,58,SF,1.939,0,Wing
Marcus Denmon,2012,59,SG,2.168,0,Guard
Robert Sacre,2012,60,C,0.177,0,Big
Anthony Bennett,2013,1,"SF,PF",1.926,0,Wing
Victor Oladipo,2013,2,"SG,PG",4.303,7,Guard
Otto Porter Jr.,2013,3,"SF,PF",4.436,3,Wing
Cody Zeller,2013,4,C,3.546,3,Big
Alex Len,2013,5,C,1.652,3,Big
Nerlens Noel,2013,6,"C,PF",3.309,3,Big
Ben McLemore,2013,7,SG,4.103,3,Guard
Kentavious Caldwell-Pope,2013,8,SG,4.181,5,Guard
Trey Burke,2013,9,PG,2.359,3,Guard
CJ McCollum,2013,10,"SG,PG",3.51,7,Guard
Michael Carter-Williams,2013,11,"PG,SG",1.778,3,Guard
Steven Adams,2013,12,C,2.872,5,Big
Kelly Olynyk,2013,13,"C,PF",2.465,3,Big
Shabazz Muhammad,2013,14,"SF,SG",1.481,0,Wing
Shane Larkin,2013,18,PG,1.697,0,Guard
Tony Snell,2013,20,"SG,SF",2.128,3,Wing
Gorgui Dieng,2013,21,"C,PF",1.339,3,Big
Mason Plumlee,2013,22,C,1.806,3,Big
Solomon Hill,2013,23,"SF,PF",1.33,0,Wing
Tim Hardaway Jr.,2013,24,SG,0.18,3,Guard
Reggie Bullock,2013,25,"SF,SG",2.171,3,Wing
Andre Roberson,2013,26,"SG,SF",1.152,3,Wing
Archie Goodwin,2013,29,"SG,PG",2.065,0,Guard
Allen Crabbe,2013,31,"SG,SF",1.054,3,Wing
Carrick Felix,2013,33,SG,0.643,0,Guard
Isaiah Canaan,2013,34,"PG,SG",0.133,0,Guard
Glen Rice Jr.,2013,35,SG,1.269,0,Guard
Ray McCallum,2013,36,PG,0.22,0,Guard
Tony Mitchell,2013,37,"SF,PF",0.481,0,Wing
Nate Wolters,2013,38,PG,1.667,0,Guard
Jeff Withey,2013,39,C,1.421,0,Big
Grant Jerrett,2013,40,"PF,C",1.177,0,Big
Jamaal Franklin,2013,41,SG,0.901,0,Guard
Pierre Jackson,2013,42,PG,1.879,0,Guard
Mike Muscala,2013,44,"C,PF",1.415,3,Big
Erick Green,2013,46,PG,1.392,0,Guard
Ryan Kelly,2013,48,"PF,C",1.109,0,Big
Erik Murphy,2013,49,C,2.053,0,Big
James Ennis III,2013,50,"SF,SG",0.602,3,Wing
Romero Osby,2013,51,SF,0.792,0,Wing
Lorenzo Brown,2013,52,PG,1.025,0,Guard
Colton Iverson,2013,53,C,0.555,0,Big
Arsalan Kazemi,2013,54,"SF,PF",2.059,0,Wing
Peyton Siva,2013,56,SG,0.706,0,Guard
Alex Oriakhi,2013,57,C,1.62,0,Big
Deshaun Thomas,2013,58,"SF,PF",2.181,0,Wing
Andrew Wiggins,2014,1,"SF,PF",4.985,7,Wing
Jabari Parker,2014,2,"SF,PF",4.864,3,Wing
Joel Embiid,2014,3,C,4.128,7,Big
Aaron Gordon,2014,4,"PF,SF",3.931,5,Wing
Marcus Smart,2014,6,"PG,SG",4.651,5,Guard
Julius Randle,2014,7,"SF,PF",3.182,7,Wing
Nik Stauskas,2014,8,SG,2.111,0,Guard
Noah Vonleh,2014,9,"PF,C",2.466,3,Big
Elfrid Payton,2014,10,PG,2.38,5,Guard
Doug McDermott,2014,11,"SF,PF",1.322,3,Wing
Zach LaVine,2014,13,SG,2.546,7,Guard
T.J. Warren,2014,14,"SF,PF",1.676,3,Wing
Adreian Payne,2014,15,"PF,C",1.136,0,Big
James Young,2014,17,SG,1.489,0,Guard
Tyler Ennis,2014,18,PG,4.188,0,Guard
Gary Harris,2014,19,SG,5.315,5,Guard
Mitch McGary,2014,21,"PF,C",1.373,0,Big
Jordan Adams,2014,22,"SG,SF",3.082,0,Wing
Rodney Hood,2014,23,"SG,SF",2.615,3,Wing
Shabazz Napier,2014,24,PG,1.536,0,Guard
P.J. Hairston,2014,26,"SF,SG",1.434,0,Wing
C.J. Wilcox,2014,28,SG,0.446,0,Guard
Josh Huestis,2014,29,"SF,PF",0.529,0,Wing
Kyle Anderson,2014,30,"SF,PF",2.374,3,Wing
K.J. McDaniels,2014,32,"SF,SG",1.735,0,Wing
Joe Harris,2014,33,SG,1.608,3,Guard
Cleanthony Early,2014,34,SF,0.96,0,Wing
Jarnell Stokes,2014,35,"C,PF",2.563,0,Big
Johnny O'Bryant,2014,36,"SF,PF",0.519,0,Wing
DeAndre Daniels,2014,37,"SF,PF",0.484,0,Wing
Spencer Dinwiddie,2014,38,"PG,SG",2.858,3,Guard
Jerami Grant,2014,39,"PF,SF",1.848,3,Wing
Glenn Robinson III,2014,40,"SF,SG",1.551,3,Wing
Nick Johnson,2014,42,SG,2.552,0,Guard
Markel Brown,2014,44,SG,0.624,0,Guard
Dwight Powell,2014,45,"C,PF",0.851,3,Big
Jordan Clarkson,2014,46,"SG,PG",0.133,3,Guard
Russ Smith,2014,47,PG,0.664,0,Guard
Lamar Patterson,2014,48,SG,2.742,0,Guard
Cameron Bairstow,2014,49,"C,PF",0.375,0,Big
Alec Brown,2014,50,"PF,C",0.814,0,Big
Semaj Christon,2014,55,PG,0.385,0,Guard
Devyn Marble,2014,56,SG,0.774,0,Guard
Jordan McRae,2014,58,"SG,PG",0.852,0,Guard
Xavier Thames,2014,59,"PG,SG",2.257,0,Guard
Cory Jefferson,2014,60,"SF,PF",0.658,0,Wing
Karl-Anthony Towns,2015,1,"C,PF",4.507,7,Big
