Name,Draft Year,Pick Number,POS,Predicted Score,Actual Tier,Position Group
Cooper Flagg,2025,1,"SF,PF",5.405,,Wing
Dylan Harper,2025,2,"PG,SG",6.278,,Guard
VJ Edgecombe,2025,3,SG,5.182,,Guard
Kon Knueppel,2025,4,"SG,SF",2.463,,Wing
Ace Bailey,2025,5,SF,2.752,,Wing
Tre Johnson,2025,6,SG,3.951,,Guard
Jeremiah Fears,2025,7,PG,2.386,,Guard
Egor Demin,2025,8,"PG,SG",2.019,,Guard
Collin Murray-Boyles,2025,9,"SF,PF",4.178,,Wing
Khaman Maluach,2025,10,C,3.473,,Big
Cedric Coward,2025,11,"SG,SF",2.626,,Wing
Derik Queen,2025,13,C,2.27,,Big
Carter Bryant,2025,14,"SF,PF",4.019,,Wing
Thomas Sorber,2025,15,"PF,C",3.666,,Big
Walter Clayton,2025,18,PG,0.889,,Guard
Kasparas Jakucionis,2025,20,"PG,SG",2.485,,Guard
Will Riley,2025,21,"SG,SF",3.822,,Wing
Drake Powell,2025,22,SG,2.88,,Guard
Asa Newell,2025,23,PF,2.342,,Big
Nique Clifford,2025,24,"SG,SF",2.055,,Wing
Jase Richardson,2025,25,"SG,PG",5.783,,Guard
Danny Wolf,2025,27,"PF,C",1.616,,Big
Liam McNeeley,2025,29,SF,2.571,,Wing
Yanic Konan Niederhauser,2025,30,C,1.351,,Big
Rasheer Fleming,2025,31,"SF,PF",1.675,,Wing
Sion James,2025,33,SF,2.827,,Wing
Ryan Kalkbrenner,2025,34,C,1.868,,Big
Johni Broome,2025,35,"PF,C",2.266,,Big
Adou Thiero,2025,36,"SF,PF",1.385,,Wing
Chaz Lanier,2025,37,SG,0.524,,Guard
Kam Jones,2025,38,"PG,SG",1.227,,Guard
Alijah Martin,2025,39,SG,1.783,,Guard
Micah Peavy,2025,40,"SG,SF",1.945,,Wing
Koby Brea,2025,41,SG,1.114,,Guard
Maxime Raynaud,2025,42,C,1.028,,Big
Jamir Watkins,2025,43,"SG,SF",0.864,,Wing
Brooks Barnhizer,2025,44,SF,1.845,,Wing
Amari Williams,2025,46,C,2.201,,Big
Javon Small,2025,48,PG,0.601,,Guard
Tyrese Proctor,2025,49,PG,0.811,,Guard
Kobe Sanders,2025,50,SG,0.53,,Guard
John Tonje,2025,53,SG,3.051,,Guard
Taelon Peter,2025,54,SG,1.529,,Guard
Will Richard,2025,56,SG,1.633,,Guard
Max Shulga,2025,57,"PG,SG",0.993,,Guard
Jahmai Mashack,2025,59,SG,0.654,,Guard
