Name,Draft Year,Pick Number,POS,Predicted Score,Actual Tier,Position Group
Dylan Harper,2025,2,"PG,SG",6.18,,Guard
Rob Dillingham,2024,8,PG,5.932,,Guard
D'Angelo Russell,2015,2,PG,5.84,7,Guard
Kyrie Irving,2011,1,"PG,SG",5.796,7,Guard
Malik Monk,2017,11,SG,5.7,5,Guard
Lonzo Ball,2017,2,PG,5.586,5,Guard
Cooper Flagg,2025,1,"SF,PF",5.494,,Wing
Paolo Banchero,2022,1,"SF,PF",5.48,,Wing
RJ Barrett,2019,3,"SG,SF",5.4,5,Wing
Jase Richardson,2025,25,"SG,PG",5.334,,Guard
Devin Vassell,2020,11,SG,5.294,5,Guard
Jabari Smith Jr.,2022,3,"SF,PF",5.294,,Wing
Ja Morant,2019,2,PG,5.28,7,Guard
Jalen Johnson,2021,20,"SF,PF",5.232,7,Wing
Cade Cunningham,2021,1,"PG,SG",5.076,7,Guard
Ben Simmons,2016,1,PG,5.068,7,Guard
Jayson Tatum,2017,3,"SF,PF",5.064,7,Wing
Malik Beasley,2016,19,SG,4.054,3,Guard
Jabari Parker,2014,2,"SF,PF",5.042,3,Wing
Coby White,2019,7,"PG,SG",5.03,5,Guard
Brandon Ingram,2016,2,"SF,PF",5.014,7,Wing
Jamal Murray,2016,7,"PG,SG",5.002,7,Guard
Kon Knueppel,2025,4,"SG,SF",4.894,,Wing
Jaren Jackson Jr.,2018,4,"C,PF",4.878,7,Big
Trae Young,2018,5,PG,4.872,7,Guard
Tyus Jones,2015,24,PG,4.852,3,Guard
Reed Sheppard,2024,3,"PG,SG",4.728,,Guard
John Collins,2017,19,"SF,PF",4.704,5,Wing
Markelle Fultz,2017,1,"PG,SG",4.644,3,Guard
Tre Johnson,2025,6,SG,4.644,,Guard
Tyler Herro,2019,13,SG,4.594,7,Guard
Andrew Wiggins,2014,1,"SF,PF",4.578,7,Wing
VJ Edgecombe,2025,3,SG,4.548,,Guard
Karl-Anthony Towns,2015,1,"C,PF",4.532,7,Big
Zion Williamson,2019,1,"SF,PF",4.478,7,Wing
Tyrell Terry,2020,31,PG,4.438,0,Guard
Jalen Smith,2020,10,"C,PF",4.416,0,Big
Collin Sexton,2018,8,"SG,PG",4.402,3,Guard
Kelly Oubre Jr.,2015,15,SF,4.396,3,Wing
Shai Gilgeous-Alexander,2018,11,"PG,SG",4.392,7,Guard
Dennis Smith Jr.,2017,9,PG,4.374,3,Guard
Tobias Harris,2011,19,"PF,SF",4.316,5,Wing
Josh Okogie,2018,20,SG,4.302,3,Guard
Ryan Rollins,2022,44,PG,4.276,,Guard
Scottie Barnes,2021,4,"SF,PF",4.222,7,Wing
Kira Lewis Jr.,2020,13,PG,4.192,0,Guard
John Tonje,2025,53,SG,4.19,,Guard
Cam Christie,2024,46,SG,4.178,,Guard
Cam Thomas,2021,27,SG,4.098,3,Guard
Tyler Ennis,2014,18,PG,4.084,0,Guard
Brandin Podziemski,2023,19,SG,4.076,,Guard
Anthony Davis,2012,1,"C,PF",4.068,7,Big
Jeremy Lamb,2012,12,SG,4.062,3,Guard
Bradley Beal,2012,3,SG,4.252,7,Guard
Gradey Dick,2023,13,SG,4.048,,Guard
Cam Reddish,2019,10,SF,3.996,3,Wing
Bennedict Mathurin,2022,6,"SF,SG",3.958,,Wing
Michael Porter Jr.,2018,14,SF,3.956,5,Wing
Sharife Cooper,2021,48,PG,3.952,0,Guard
Trey Lyles,2015,12,"SF,PF",3.944,3,Wing
Malaki Branham,2022,20,"SG,PG",3.944,,Guard
CJ McCollum,2013,10,"SG,PG",3.94,7,Guard
Stanley Johnson,2015,8,"SF,PF",3.922,0,Wing
Joel Bolomboy,2016,52,"SF,PF",3.892,0,Wing
Jonathan Isaac,2017,6,"SF,PF",3.886,3,Wing
Troy Brown Jr.,2018,15,SF,3.886,0,Wing
Ziaire Williams,2021,10,SF,3.886,3,Wing
Greg Brown III,2021,43,"PF,SF",3.878,0,Wing
Jarace Walker,2023,8,"SF,PF",3.878,,Wing
Carter Bryant,2025,14,"SF,PF",3.878,,Wing
Franz Wagner,2021,8,SF,3.876,7,Wing
Jeremy Sochan,2022,9,"SF,PF",3.866,,Wing
Kevin Huerter,2018,19,"SG,SF",3.856,5,Wing
Chet Holmgren,2022,2,"C,PF",3.854,,Big
Jordan Adams,2014,22,"SG,SF",3.83,0,Wing
Isaiah Stewart,2020,16,"C,PF",3.826,3,Big
Donovan Clingan,2024,7,C,3.792,,Big
Marcus Smart,2014,6,"PG,SG",3.776,5,Guard
Evan Mobley,2021,3,"PF,C",3.746,7,Big
Joel Embiid,2014,3,C,3.72,7,Big
Dereck Lively II,2023,12,C,3.714,,Big
Zeke Nnaji,2020,22,"PF,C",3.698,3,Big
