Name,Draft Year,POS,Group,Predicted Tier,Actual Tier
Kyrie Irving,2011,"PG,SG",Guards,5.255,7.0
Brandon Knight,2011,"PG,SG",Guards,2.057,4.5
Kemba Walker,2011,PG,Guards,2.342,6.0
Jimmer Fredette,2011,"SG,PG",Guards,3.6,0.5
Nolan Smith,2011,PG,Guards,0.524,0.0
Reggie Jackson,2011,"PG,SG",Guards,2.923,3.0
MarShon Brooks,2011,SG,Guards,2.149,0.5
Norris Cole,2011,PG,Guards,0.742,0.5
Cory Joseph,2011,"PG,SG",Guards,2.785,3.0
Shelvin Mack,2011,"PG,SG",Guards,1.794,0.5
Darius Morris,2011,PG,Guards,1.896,0.5
Malcolm Lee,2011,SG,Guards,1.25,0.5
Charles Jenkins,2011,"PG,SG",Guards,1.979,0.0
Andrew Goudelock,2011,"SG,PG",Guards,0.99,0.5
Travis Leslie,2011,SG,Guards,1.075,0.0
Josh Selby,2011,PG,Guards,2.754,0.0
Jon Diebler,2011,SG,Guards,1.962,0.0
E'Twaun Moore,2011,"SG,PG",Guards,0.512,3.0
Isaiah Thomas,2011,"PG,SG",Guards,0.422,6.0
Bradley Beal,2012,SG,Guards,3.244,6.0
Dion Waiters,2012,SG,Guards,2.345,3.0
Damian Lillard,2012,PG,Guards,2.043,7.0
Austin Rivers,2012,"SG,PG",Guards,2.04,3.0
Kendall Marshall,2012,PG,Guards,1.241,0.5
John Jenkins,2012,SG,Guards,3.401,0.5
Jared Cunningham,2012,SG,Guards,1.709,0.5
Tony Wroten,2012,"PG,SG",Guards,2.617,0.5
Marquis Teague,2012,"SG,PG",Guards,2.821,0.5
Orlando Johnson,2012,SG,Guards,0.452,0.5
Tyshawn Taylor,2012,PG,Guards,1.078,0.0
Doron Lamb,2012,SG,Guards,2.168,0.0
Kim English,2012,SG,Guards,1.573,0.0
Kevin Murphy,2012,SG,Guards,0.822,0.0
Darius Johnson-Odom,2012,SG,Guards,1.279,0.0
Marcus Denmon,2012,SG,Guards,1.427,0.0
Victor Oladipo,2013,"SG,PG",Guards,2.768,6.0
Kentavious Caldwell-Pope,2013,SG,Guards,3.151,4.5
Trey Burke,2013,PG,Guards,3.538,3.0
CJ McCollum,2013,"SG,PG",Guards,2.872,6.0
Michael Carter-Williams,2013,"PG,SG",Guards,1.456,3.0
Shane Larkin,2013,PG,Guards,2.046,0.5
Archie Goodwin,2013,"SG,PG",Guards,2.044,0.5
Carrick Felix,2013,SG,Guards,0.437,0.0
Isaiah Canaan,2013,"PG,SG",Guards,0.698,0.5
Glen Rice Jr.,2013,SG,Guards,0.987,0.0
Ray McCallum,2013,PG,Guards,0.59,0.5
Nate Wolters,2013,PG,Guards,1.489,0.5
Jamaal Franklin,2013,SG,Guards,1.465,0.0
Pierre Jackson,2013,PG,Guards,1.229,0.0
Erick Green,2013,PG,Guards,3.728,0.0
Lorenzo Brown,2013,PG,Guards,1.81,0.5
Peyton Siva,2013,SG,Guards,1.49,0.0
Marcus Smart,2014,"PG,SG",Guards,3.475,4.5
Nik Stauskas,2014,SG,Guards,2.322,0.5
Elfrid Payton,2014,PG,Guards,2.918,4.5
James Young,2014,SG,Guards,1.946,0.5
Tyler Ennis,2014,PG,Guards,4.144,0.5
Gary Harris,2014,SG,Guards,3.881,4.5
Shabazz Napier,2014,PG,Guards,0.811,0.5
C.J. Wilcox,2014,SG,Guards,0.597,0.5
Spencer Dinwiddie,2014,"PG,SG",Guards,1.115,3.0
Nick Johnson,2014,SG,Guards,0.888,0.0
Markel Brown,2014,SG,Guards,0.59,0.5
Jordan Clarkson,2014,"SG,PG",Guards,0.438,3.0
Russ Smith,2014,PG,Guards,0.765,0.0
Lamar Patterson,2014,SG,Guards,1.034,0.0
Semaj Christon,2014,PG,Guards,0.792,0.0
Devyn Marble,2014,SG,Guards,1.07,0.0
Jordan McRae,2014,"SG,PG",Guards,0.462,0.5
Xavier Thames,2014,"PG,SG",Guards,0.987,0.0
D'Angelo Russell,2015,PG,Guards,4.917,6.0
Devin Booker,2015,"SG,PG",Guards,3.914,7.0
Cameron Payne,2015,"PG,SG",Guards,1.208,3.0
Terry Rozier,2015,"PG,SG",Guards,0.899,3.0
Rashad Vaughn,2015,SG,Guards,2.662,0.5
Jerian Grant,2015,"PG,SG",Guards,0.819,0.5
Delon Wright,2015,"PG,SG",Guards,1.272,0.5
Tyus Jones,2015,PG,Guards,4.773,3.0
R.J. Hunter,2015,SG,Guards,1.046,0.5
Darrun Hilliard,2015,SG,Guards,0.964,0.5
Olivier Hanlan,2015,"SG,PG",Guards,0.699,0.0
Joe Young,2015,PG,Guards,0.942,0.5
Andrew Harrison,2015,PG,Guards,0.965,0.5
Tyler Harvey,2015,"PG,SG",Guards,2.011,0.0
Ben Simmons,2016,PG,Guards,4.548,6.0
Kris Dunn,2016,PG,Guards,0.945,3.0
Jamal Murray,2016,"PG,SG",Guards,4.685,6.0
Wade Baldwin,2016,PG,Guards,1.921,0.5
